,0
526,0.0
527,0.0
528,1.0412929
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,1.2900276
536,0.0
537,0.0
538,0.0
539,0.0
540,0.0
541,0.0
542,0.0
543,0.0
544,0.0
545,0.0
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,0.6660694
555,0.36001873
556,0.070264295
557,0.0
558,0.22909868
559,0.72471756
560,0.10568237
561,0.0
562,0.34732017
563,0.0
564,0.0
565,0.0
566,0.0
567,0.0
568,0.0
569,0.0
570,0.1623378
571,0.0
572,0.0
573,0.0
574,0.0
575,0.2758403
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,0.18607844
583,0.27667528
584,0.0003735682
585,0.009014523
586,0.0
587,0.0
588,0.0082046185
589,0.06457241
590,0.0
591,0.0
592,0.0
593,0.0
594,0.0
595,0.0
596,0.0
597,0.0
598,0.0
599,0.0
600,0.0
601,0.010793921
602,0.0
603,0.0
604,0.0
605,0.0
606,0.0
607,0.0
608,0.0
609,0.0
610,0.0
611,0.0
612,0.0
613,0.0
614,0.0
615,0.0
616,0.0
617,0.0
618,0.0
619,0.07814503
620,0.0
621,0.0
622,0.0
623,0.0
624,0.04862702
625,2.164587
626,0.0
627,0.0
628,0.0
629,0.0
630,0.0
631,0.0
632,0.0
633,0.0
634,0.0
635,0.0022490611
636,0.0
637,0.0
638,0.0
639,0.0
640,0.18885827
641,0.0
642,0.0
643,0.0
644,0.0
645,0.0
646,0.0
647,0.0
648,0.0
649,0.017032836
650,0.0
651,0.0
652,0.47386354
653,0.0
654,0.0
655,0.39421913
656,0.0
657,0.06877199
658,0.0
659,0.0
660,0.0
661,0.0
662,0.0
663,0.0
664,0.0
665,0.0
666,0.0
667,0.0
668,0.0
669,0.0
670,0.0
671,0.0
672,0.9324227
673,0.1058378
674,0.0
675,0.0
676,0.0
677,0.07603428
678,0.0
679,0.038640592
680,0.0
681,0.0
682,0.0
683,0.22075716
684,0.0
685,0.0
686,0.0
687,0.0
688,0.6310321
689,0.0
690,1.0695777
691,0.0
692,0.47337192
693,0.0
694,0.0
695,0.0
696,0.0
697,3.3764598
698,0.0
699,0.0044778474
700,1.0811112
701,0.051506545
702,0.06966738
703,3.0026054
704,0.0
705,0.27951556
706,0.7354567
707,0.0
708,0.0
709,0.0
710,0.0
711,0.0
712,0.0
713,0.0
714,0.0
715,0.0
716,0.0
717,0.28275517
718,0.0
719,0.0
720,0.0
721,0.0
722,0.050026625
723,0.0
724,0.0
725,0.0
726,0.3504423
727,0.051355276
728,0.0
729,0.0
730,0.0
731,0.0
732,0.0
733,0.0
734,0.0
735,0.11873415
736,0.0
737,0.0
738,0.0
739,0.05184314
740,0.00827437
741,0.0
742,0.0
743,0.0
744,0.0
745,0.0
746,0.0
747,2.9193492
748,1.3416508
749,2.5619318
750,1.1372292
751,1.3006238
752,1.422212
753,0.0
754,2.2019153
755,5.153994
756,0.7416328
757,0.0
758,1.4785069
759,0.0
760,1.3495101
761,0.24586822
762,0.06860027
763,0.5616996
764,0.0
765,0.0
766,0.0
767,0.0
768,0.0
769,0.0
770,0.0
771,0.0
772,0.0
773,0.0
774,0.0
775,0.0
776,0.0
777,0.0
778,0.0
779,0.0
780,0.024594864
781,0.0
782,0.0
783,0.0
784,0.0
785,0.0
786,0.0
787,0.0
788,0.0
789,0.0
790,0.13767287
791,0.06697462
792,0.0
793,0.0
794,0.0
795,0.0
796,0.0
797,0.0
798,0.0
799,0.0
800,0.0
801,0.0
802,0.01266458
803,0.0
804,0.0
805,0.0
806,0.0
807,0.0
808,0.46833274
809,0.0
810,0.0
811,0.0
812,0.0
813,0.0
814,0.26128715
815,0.0
816,0.0
817,0.0
818,0.0
819,0.0
820,0.0
821,0.0
822,0.0
823,0.0
824,0.0
825,0.0
826,0.0
827,0.0
828,0.0
829,0.0
830,0.0
831,0.0
832,0.0
833,0.0
834,0.0
835,0.0
836,0.0
837,0.0
838,0.0
839,0.0
840,0.0
841,0.0
842,0.6385528
843,0.0
844,0.0
845,0.0
846,0.0
847,0.0
848,0.0053194766
849,0.0
850,0.0
851,0.0
852,0.0
853,0.0
854,0.20731308
855,0.0
856,0.0
857,0.0
858,0.0
859,0.0
860,0.0
861,0.0
862,0.0
863,0.0
864,0.0
865,0.0
866,0.0
867,0.0
868,0.0
869,0.0
870,0.0
871,0.0
872,0.0
873,0.0
874,0.0
875,0.44099525
876,0.31093302
877,0.0
878,0.0
879,0.0
880,0.0
881,0.0
882,0.0
883,0.11286212
884,0.0
885,0.0
886,0.0
887,0.0
888,0.0
889,0.0
890,0.0
891,0.0
892,0.0
893,0.0
894,0.2720716
895,0.0
896,0.0
897,0.0
898,0.0
899,0.0
900,0.015286613
901,0.2044809
902,0.10419324
903,0.0
904,0.0
905,0.0
906,0.0
907,0.0
908,0.0
909,0.0
910,0.0
911,0.0
912,0.0
913,0.039870407
914,0.0
915,0.0
916,0.0
917,0.0
918,0.0
919,0.0
920,0.0
921,0.0
922,0.0
923,0.0
924,0.4772921
925,0.0
926,0.0
927,0.0
928,0.0
929,0.0
930,0.0
931,0.0
932,0.0
933,0.0
934,0.0
935,0.0
936,0.0
937,0.0
938,0.0
939,0.059686605
940,0.0
941,0.0
942,0.0
943,0.0
944,0.0
945,0.0
946,0.0
947,0.0
948,0.0
949,0.0
950,0.0
951,0.0
952,0.0
953,0.0
954,0.0
955,0.0
956,0.0
957,0.0
958,0.0
959,0.0
960,0.0
961,0.12773404
962,0.0057627656
963,0.0
964,0.0
965,0.009129525
966,0.5362534
967,0.0
968,1.6412712
969,0.46837816
970,0.0
971,2.5963464
972,3.0689516
973,0.045500636
974,0.0
975,0.93789005
976,1.044958
977,0.8486106
978,0.0
979,0.0
980,0.0
981,0.0
982,0.0
983,0.0
984,0.0
985,0.0
986,0.0
987,0.0
988,0.64189196
989,0.0
990,2.591321
991,0.0
992,0.17671835
993,0.0
994,0.0
995,9.822891
996,0.0
997,0.0
998,0.0
999,0.0
1000,2.2084112e-09
1001,0.0
1002,0.0
1003,0.0
1004,0.003119398
1005,0.19901407
1006,0.0
1007,0.0
1008,0.55683863
1009,0.0009378155
1010,0.0
1011,0.0
1012,0.0
1013,0.0
1014,0.0
1015,0.0
1016,0.0
1017,0.0
1018,0.0
1019,0.0
1020,0.0
1021,0.0
1022,0.0
1023,0.0
1024,0.0
1025,0.0
1026,0.0
1027,0.0
1028,0.0
1029,0.05814374
1030,0.0
1031,0.0
1032,0.0029400166
1033,0.0
1034,0.0
1035,0.50853604
1036,0.0
1037,0.0
1038,0.0
1039,0.0
1040,0.0
1041,0.0
1042,0.0
1043,0.0
1044,0.0
1045,0.0
1046,0.0
1047,0.0
1048,0.0
1049,0.0
1050,0.0
1051,0.35849488
1052,0.0
1053,0.0
1054,0.0
1055,0.04303637
1056,0.2987352
1057,0.0
1058,0.0
1059,0.0
1060,0.0
1061,0.0
1062,0.0
1063,0.0
1064,0.0
1065,0.0
1066,0.0
1067,0.0
1068,0.3305896
1069,0.00057717477
1070,0.0
1071,0.0
1072,0.0
1073,0.0
1074,0.0
1075,0.0
1076,0.0
1077,0.0
1078,0.10173436
1079,0.0
1080,0.0
1081,0.39075893
1082,0.07458144
1083,0.0
1084,0.0
1085,0.0
1086,0.22840992
1087,0.0
1088,0.0
1089,0.0
1090,0.0
1091,0.0
1092,0.0
1093,0.0
1094,0.0
1095,0.0
1096,0.0
1097,0.0
1098,0.0
1099,0.0
1100,0.0
1101,0.0
1102,0.0
1103,0.0
1104,0.0
1105,0.0
1106,0.0
1107,0.30667153
1108,0.0
1109,0.0
1110,0.0
1111,0.0
1112,0.0
1113,0.0
1114,0.0
1115,0.0
1116,0.008878774
1117,0.0
1118,0.0
1119,0.0
1120,0.0
1121,0.0
1122,0.06253246
1123,0.0
1124,0.0
1125,0.0
1126,0.0
1127,0.0
1128,0.0
1129,0.00059065066
1130,0.0
1131,0.0
1132,0.36581305
1133,0.0
1134,0.0
1135,0.0
1136,0.0
1137,0.0
1138,0.0
1139,0.0
1140,0.0
1141,0.0
1142,0.0
1143,0.2231434
1144,0.0
1145,0.0
1146,0.0
1147,0.0
1148,0.0
1149,0.0
1150,0.33133882
1151,0.0
1152,0.39890432
1153,0.0
1154,0.0
1155,0.0
1156,0.0
1157,0.22838719
1158,0.0
1159,0.11497999
1160,0.0
1161,0.016008375
1162,0.27410907
1163,0.0
1164,0.0
1165,0.0
1166,0.0
1167,0.0
1168,0.0
1169,0.0
1170,0.0
1171,0.0
1172,0.0
1173,0.0
1174,0.0
1175,0.0
1176,0.0
1177,0.0
1178,0.0
1179,0.0
1180,0.0
1181,0.0
1182,0.0
1183,0.0
1184,0.0
1185,0.0
1186,0.029922089
1187,0.0
1188,0.0
1189,0.0
1190,1.7841145
1191,0.0
1192,0.0
1193,0.0
1194,0.116394535
1195,0.0
1196,0.0
1197,0.0
1198,0.0
1199,0.0
1200,0.0
1201,0.0
1202,0.0
1203,0.0
1204,0.9378506
1205,0.00985674
1206,0.1627904
1207,0.0
1208,0.0
1209,0.0
1210,0.0
1211,0.03148226
1212,0.18121216
1213,0.0
1214,0.41579297
1215,0.0
1216,0.0
1217,0.0
1218,0.0
1219,0.0
1220,1.288781
1221,0.059347663
1222,0.6136224
1223,0.0
1224,0.020970497
1225,0.69045895
1226,0.33621117
1227,0.0
1228,0.0
1229,0.0
1230,0.0
1231,0.0
1232,0.0
1233,0.0
1234,0.0
1235,0.00803615
1236,0.615124
1237,0.1524127
1238,0.0
1239,0.0
1240,0.0
1241,0.0
1242,0.0
1243,0.0
1244,0.0
1245,0.20542093
1246,0.0
1247,0.0
1248,0.0
1249,0.0
1250,0.0
1251,0.0
1252,0.0
1253,0.0
1254,0.0
1255,0.0
1256,0.0
1257,0.0
1258,0.0
1259,0.0
1260,0.0
1261,0.0
1262,0.0
1263,0.0
1264,0.0
1265,0.11746567
1266,0.008918476
1267,0.016879672
1268,0.0
1269,0.0
1270,1.1043586
1271,0.0
1272,0.012589873
1273,0.0
1274,0.21416281
1275,0.0
1276,0.0
1277,0.0
1278,0.0
1279,0.0
1280,0.0
1281,0.0
1282,0.0
1283,0.08930683
1284,0.0
1285,0.0
1286,0.0
1287,0.0
1288,0.0
1289,0.0
1290,0.0
1291,0.0
1292,1.508466
1293,0.29980338
1294,0.005124821
1295,0.0
1296,0.0
1297,0.4073549
1298,0.3454632
1299,0.0
1300,0.0
1301,0.0
1302,0.0
1303,0.0
1304,0.0
1305,0.0
1306,0.0
1307,0.7361966
1308,0.0
1309,0.0
1310,0.0
1311,0.0
1312,0.0011705265
1313,1.9393063
1314,0.044353835
1315,0.20681854
1316,0.0
1317,0.11224404
1318,0.052985393
1319,0.071638584
1320,0.0
1321,0.66316503
1322,0.0
1323,0.0
1324,1.1974007
1325,0.1210151
1326,0.20656916
1327,0.0
1328,0.0
1329,0.0
1330,0.0
1331,0.0
1332,0.0
1333,0.0
1334,0.0
1335,0.006446362
1336,0.0
1337,0.0
1338,0.0
1339,0.0
1340,0.0
1341,0.02356414
1342,0.0
1343,0.0
1344,0.04609206
1345,0.0
1346,0.0
1347,0.0
1348,0.0
1349,0.0363629
1350,0.0
1351,0.0
1352,0.0
1353,0.0
1354,0.0
1355,1.289966
1356,0.0
1357,0.0
1358,0.0
1359,0.0
1360,0.0
1361,0.0
1362,0.008733284
1363,0.0
1364,0.3309794
1365,1.1560822
1366,0.0
1367,0.0
1368,0.36139098
1369,0.0
1370,0.08165732
1371,1.7304016
1372,0.0
1373,0.06340737
1374,0.8455492
1375,0.7657562
1376,1.3707833
1377,0.5039278
1378,2.8436494e-05
1379,0.0
1380,0.08884111
1381,1.0523672
1382,1.6842054
1383,0.18658924
1384,1.6732996
1385,2.4017787
1386,1.6582751
1387,0.0
1388,0.0
1389,0.0
1390,0.0
1391,0.0
1392,0.0
1393,0.0
1394,0.0
1395,0.0
1396,0.0
1397,0.0
1398,0.11395439
1399,0.0
1400,0.0
1401,0.02609733
1402,5.8370786
1403,0.0
1404,0.0
1405,0.0
1406,0.0
1407,0.07107804
1408,0.0
1409,0.0
1410,0.0
1411,1.2921833
1412,0.0
1413,0.0
1414,0.0
1415,0.0
1416,0.0
1417,0.0
1418,0.0
1419,0.0
1420,0.0
1421,0.37772188
1422,0.0
1423,0.0
1424,0.0
1425,0.0
1426,0.0
1427,0.06583524
1428,0.09703612
1429,0.0
1430,0.0
1431,0.0
1432,0.0
1433,0.0
1434,0.0
1435,0.0
1436,0.0
1437,0.0
1438,0.0
1439,0.0
1440,0.0
1441,0.12284081
1442,0.0
1443,0.0
1444,0.0
1445,0.0
1446,0.0
1447,0.0
1448,0.0674902
1449,0.0
1450,0.0
1451,0.0
1452,0.0
1453,0.0
1454,0.0
1455,1.8179214
1456,0.0
1457,0.0
1458,0.0
1459,0.19084707
1460,0.016973855
1461,0.0
1462,0.0
1463,0.0
1464,0.01071659
1465,0.0
1466,0.013941961
1467,0.0
1468,0.0
1469,0.10924432
1470,0.0464334
1471,0.06159839
1472,0.0004916865
1473,0.19089657
1474,0.0
1475,0.17992727
1476,0.0
1477,0.0
1478,1.8780102
1479,1.502456
1480,1.7069408
1481,2.5583055
1482,2.3607361
1483,0.35809526
1484,0.9422891
1485,0.0
1486,0.0
1487,0.0
1488,0.0
1489,0.0
1490,0.0
1491,0.0
1492,0.0
1493,0.0
1494,0.0
1495,0.0
1496,0.6388221
1497,0.0
1498,0.0
1499,0.0
1500,0.0
1501,0.0778168
1502,0.025115801
1503,0.025092721
1504,0.1189896
1505,0.48097944
1506,1.0378444
1507,1.0787776
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.10009358
1514,0.07734807
1515,0.002579062
1516,0.37899292
1517,0.0
1518,0.0
1519,0.02506557
1520,0.7548208
1521,0.0
1522,0.0
1523,0.01628556
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.49773154
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.61622113
1550,0.0
1551,1.3978167
1552,0.0
1553,0.0
1554,0.0
1555,0.00023790945
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.05658309
1561,1.4389349
1562,0.0
1563,0.0
1564,0.0
1565,0.038894676
1566,1.1644431
1567,0.4048042
1568,0.0
1569,0.028055051
1570,1.3771487
1571,0.0
1572,0.0
1573,0.0012721275
1574,0.014129496
1575,1.1843274
1576,0.5717587
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.14427394
1588,0.0032326446
1589,0.019376991
1590,0.0041552302
1591,0.0
1592,0.0
1593,0.0
1594,0.053493124
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.022762176
1601,0.40982422
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.25717586
1609,2.2671878
1610,0.0
1611,0.005504913
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,1.653324
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.2494355
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.310823
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.00039293506
1659,0.0
1660,0.0
1661,0.0
1662,0.027452257
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.10835117
1716,0.0019835741
1717,0.0
1718,1.792632
1719,0.0
1720,0.5231421
1721,0.20487034
1722,1.3693773
1723,0.02626953
1724,0.0
1725,0.0
1726,0.06257893
1727,0.0
1728,0.8427887
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.028017493
1735,0.0
1736,0.0
1737,0.0
1738,0.15107565
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.17594066
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,9.5032075e-05
1769,0.0
1770,0.7315717
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0030996795
1777,0.06391826
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0373833
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.78317076
1797,0.0
1798,0.0
1799,0.0
1800,0.0039144075
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.722105
1806,0.0
1807,0.033669636
1808,0.0
1809,0.020979676
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.5525124
1816,0.0
1817,0.4125616
1818,0.0
1819,2.3861299
1820,0.0
1821,0.0
1822,0.0
1823,0.024969814
1824,0.08181461
1825,0.0
1826,0.0
1827,0.0
1828,0.5004358
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.4251156
1834,0.26751533
1835,0.0
1836,0.07523843
1837,0.0
1838,0.0024830634
1839,0.10803152
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.012947876
1864,0.41799587
1865,0.0
1866,0.0
1867,0.7285058
1868,0.17449921
1869,0.0
1870,0.0
1871,0.022927893
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.026204268
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.025632154
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.018456448
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.08927708
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,0.0
1922,0.0
1923,0.04958111
1924,0.0
1925,0.0
1926,0.0
1927,0.0
1928,0.0
1929,1.7607266
1930,0.0
1931,0.0
1932,0.07167717
1933,0.0
1934,0.0
1935,0.0
1936,0.0
1937,9.732589e-08
1938,0.0
1939,0.0
1940,0.0
1941,0.0
1942,0.0
1943,0.0
1944,0.0
1945,0.0
1946,0.26044568
1947,0.08978649
1948,0.46810722
1949,0.0
1950,0.007109222
1951,0.0
1952,0.13219425
1953,0.0
1954,0.0
1955,0.5797442
1956,0.0
1957,0.0
1958,0.0
1959,0.13886184
1960,0.0
1961,0.0
1962,0.0
1963,0.0
1964,0.8670312
1965,0.0
1966,0.0
1967,0.0
1968,0.0
1969,0.3652822
1970,0.29681414
1971,0.0
1972,0.00015568986
1973,0.0
1974,0.0
1975,0.12316911
1976,0.0
1977,0.0
1978,0.0
1979,0.0
1980,0.8518762
1981,0.0
1982,0.0
1983,0.0
1984,0.0
1985,0.0
1986,0.0
1987,0.0
1988,0.0
1989,0.0
1990,0.0
1991,0.0
1992,0.0
1993,0.0
1994,0.0
1995,0.0
1996,0.0
1997,0.0
1998,0.0
1999,0.0
2000,0.31582472
2001,0.0
2002,0.0
2003,0.0
2004,0.0
2005,0.0
