,0
315,0.0
316,0.0
317,0.0
318,0.0
319,2.930945
320,0.0
321,0.0
322,0.0
323,0.031297494
324,0.0
325,0.0
326,0.32541147
327,0.0
328,0.0049903034
329,0.0
330,0.0
331,0.0
332,0.0
333,0.34586257
334,0.16766578
335,0.0
336,0.0
337,0.0
338,0.37204453
339,2.4746916
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.76923776
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0023109678
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.260213
370,0.20898694
371,0.0
372,0.0
373,0.0
374,0.0
375,0.21300371
376,0.0
377,0.22186309
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.17756784
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.17531447
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.44961315
431,0.028327754
432,0.31536797
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.004943372
444,0.11566858
445,0.0
446,0.0
447,0.009371108
448,0.0
449,0.08959199
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.27371225
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,2.0471897
465,0.0
466,0.0
467,0.0
468,0.0
469,0.29258338
470,0.16758619
471,1.645671
472,0.54859644
473,0.0
474,0.053032108
475,0.0
476,0.0
477,0.0
478,0.977497
479,1.1500419
480,2.3447037
481,0.0
482,0.0
483,0.036988016
484,0.0
485,1.5332174
486,0.0
487,0.0
488,0.0
489,0.0
490,0.0
491,0.0
492,0.035095423
493,0.94314057
494,0.0
495,0.0
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,1.2367122
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.25312108
511,0.0
512,0.0
513,0.0
514,0.0
515,0.0
516,0.0
517,0.0
518,0.0
519,0.0
520,0.0
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
532,0.06586664
533,0.0
534,0.0
535,0.0
536,0.0
537,0.0
538,0.0
539,0.0
540,0.0
541,0.0
542,0.0
543,0.0
544,0.0
545,0.0
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0053098653
551,0.0
552,0.0
553,0.0
554,0.0
555,0.31463784
556,0.22945823
557,0.0
558,0.0
559,0.0
560,0.0
561,0.0
562,0.0
563,0.0
564,0.0
565,0.0
566,0.0
567,0.0
568,0.043251205
569,0.32606596
570,0.0
571,0.0
572,0.6133146
573,8.7741785
574,0.0
575,0.22696546
576,0.0
577,0.01397662
578,0.0
579,0.0
580,0.0
581,0.008050711
582,0.4955946
583,0.0
584,0.0
585,0.0
586,0.0
587,0.0
588,0.7786967
589,0.0
590,0.23259597
591,0.0
592,0.0
593,0.41127038
594,0.0017835726
595,0.10082116
596,0.0
597,0.0
598,0.0
599,0.0
600,0.0
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,0.0
607,0.0
608,0.01819749
609,0.0
610,0.03776632
611,0.0
612,0.0
613,0.07805055
614,0.0
615,0.0
616,0.0
617,0.0
618,1.0147303
619,0.0
620,0.0
621,0.22276771
622,0.035377532
623,0.0
624,0.0
625,0.0
626,0.1354828
627,0.048542887
628,0.0
629,0.0
630,0.0
631,0.0
632,0.0
633,0.0
634,0.0
635,0.0
636,0.2987612
637,0.0
638,0.13108462
639,0.0
640,0.0
641,0.6112826
642,8.1704464e-08
643,0.62211454
644,0.0
645,0.0
646,0.0
647,0.0
648,0.0
649,0.0
650,0.0
651,0.0
652,0.0
653,0.0
654,0.13617253
655,0.002466956
656,0.0
657,0.0
658,0.0
659,0.0
660,0.0
661,0.0
662,0.0
663,0.0
664,0.0
665,0.0
666,0.34661368
667,0.0
668,0.0
669,0.0
670,0.0
671,0.3629902
672,0.040983386
673,0.0
674,0.007234847
675,0.0
676,0.0
677,0.0
678,0.0037645628
679,0.16744895
680,0.0
681,0.0
682,0.0
683,0.0
684,0.0
685,0.75442106
686,0.0
687,0.0
688,0.22983576
689,0.009015035
690,0.0
691,0.0
692,0.0
693,0.0
694,0.0
695,0.0
696,0.0
697,0.0
698,0.047337346
699,0.0
700,0.0
701,0.0
702,1.8136284
703,0.0013330019
704,0.0067479755
705,0.0
706,0.0
707,0.0
708,0.0
709,0.0
710,0.0
711,0.0
712,0.0
713,0.0
714,0.0
715,0.00730472
716,0.0
717,0.0
718,0.0
719,0.0
720,0.4238387
721,0.7265526
722,0.17285928
723,0.0
724,0.0
725,0.0
726,0.0
727,0.0
728,0.0
729,0.16054985
730,0.0
731,0.11053318
732,0.0
733,0.0
734,0.0
735,0.0
736,0.6809795
737,0.0
738,0.0
739,0.0
740,0.0
741,0.0
742,0.0
743,0.0
744,0.576227
745,0.0
746,0.0
747,0.9308965
748,0.0
749,0.10144911
750,0.0
751,0.0
752,0.0
753,0.0
754,0.0
755,0.0
756,0.0
757,0.0
758,0.0
759,0.0
760,0.0
761,0.0
762,0.0
763,0.0
764,0.0
765,0.0
766,0.0
767,0.0
768,0.0
769,0.0
770,0.0
771,0.0
772,0.0
773,0.0
774,0.0
775,2.714262
776,0.0
777,1.1248173
778,0.0
779,0.44159374
780,0.0
781,0.0
782,0.0
783,0.0
784,0.0
785,0.0
786,0.0
787,0.10054941
788,0.0
789,0.0
790,0.0
791,0.0
792,0.0
793,0.0
794,0.0
795,0.0
796,0.0
797,0.0
798,0.9017985
799,0.0
800,0.0
801,0.20106414
802,0.0
803,0.0
804,0.0
805,0.0
806,0.0
807,0.0
808,0.0
809,0.0
810,0.0
811,0.0
812,0.0
813,0.0
814,0.0
815,0.0
816,0.0
817,0.0
818,0.0
819,0.0
820,0.0
821,0.0
822,0.0
823,0.0
824,0.0
825,0.0
826,0.0
827,0.0
828,0.0
829,0.0
830,0.0
831,0.0
832,0.003400041
833,0.0
834,5.259833
835,0.0
836,2.0441341
837,0.0
838,0.0
839,0.0
840,0.0
841,0.6039141
842,0.5465206
843,0.0
844,1.4860859
845,0.0
846,0.0
847,0.0
848,0.0
849,0.0
850,0.0
851,0.0
852,0.0
853,0.082810454
854,0.0
855,0.0
856,0.0
857,0.0
858,0.0
859,0.0
860,0.0
861,0.0
862,0.0
863,0.0
864,0.0
865,0.0
866,0.0
867,0.0
868,0.08244167
869,0.0055291494
870,0.0
871,0.0
872,0.0
873,0.0
874,0.0
875,0.0
876,0.0
877,0.0
878,0.57354295
879,0.0
880,0.0
881,1.8290101
882,0.0
883,0.09654292
884,0.0
885,0.0
886,0.0
887,0.0
888,0.0
889,0.0
890,0.0
891,0.060454898
892,0.0
893,0.8065323
894,0.0
895,0.30358064
896,0.019187639
897,2.409663
898,0.0
899,0.0
900,0.0
901,0.019581037
902,0.0
903,0.35503027
904,0.2176498
905,0.0
906,0.0
907,0.0
908,0.0
909,0.0
910,0.0
911,0.0
912,0.0
913,0.07976685
914,0.0
915,0.0
916,0.0
917,0.0
918,0.030198071
919,0.0
920,0.0
921,0.45070595
922,0.0
923,0.0
924,0.4401124
925,0.5519198
926,1.1591458
927,0.0
928,0.0
929,0.0
930,1.2202795
931,0.0
932,0.0
933,0.087173365
934,0.19428508
935,0.090687476
936,0.17686473
937,0.0
938,0.0
939,0.0
940,0.0
941,3.0344543
942,0.0
943,0.0
944,0.0
945,0.026896099
946,0.0
947,0.0
948,0.32951397
949,0.0
950,0.004757853
951,0.0
952,0.0
953,0.0
954,0.0
955,0.28759113
956,0.17915757
957,0.0
958,0.0
959,0.0
960,0.40286043
961,2.4571037
962,0.0
963,0.0
964,0.0
965,0.0
966,0.0
967,0.0
968,0.0
969,0.0
970,0.0
971,0.0
972,0.0
973,0.0
974,0.69935334
975,0.0
976,0.0
977,0.0
978,0.0
979,0.0
980,0.0
981,0.0
982,0.0
983,0.0
984,0.00057144585
985,0.0
986,0.0
987,0.0
988,0.0
989,0.0
990,0.0
991,0.2686367
992,0.18744484
993,0.0
994,0.0
995,0.0
996,0.0
997,0.20274645
998,0.0
999,0.16370116
1000,0.0
1001,0.0
1002,0.0
1003,0.0
1004,0.0
1005,0.0
1006,0.0
1007,0.0
1008,0.0
1009,0.0
1010,0.0
1011,0.0
1012,0.0
1013,0.0
1014,0.0
1015,0.0
1016,0.0
1017,0.0
1018,0.0
1019,0.0
1020,0.0
1021,0.0
1022,0.24178983
1023,0.0
1024,0.0
1025,0.0
1026,0.0
1027,0.0
1028,0.0
1029,0.0
1030,0.0
1031,0.0
1032,0.0
1033,0.0
1034,0.0
1035,0.09616525
1036,0.0
1037,0.0
1038,0.0
1039,0.0
1040,0.0
1041,0.0
1042,0.0
1043,0.0
1044,0.0
1045,0.0
1046,0.0
1047,0.0
1048,0.0
1049,0.0
1050,0.0
1051,0.0
1052,0.44016537
1053,0.0059444406
1054,0.33674952
1055,0.0
1056,0.0
1057,0.0
1058,0.0
1059,0.0
1060,0.0
1061,0.0
1062,0.0
1063,0.00031714034
1064,0.0
1065,0.009186912
1066,0.11230748
1067,0.0
1068,0.0
1069,0.019421794
1070,0.0
1071,0.076633535
1072,0.0
1073,0.0
1074,0.0
1075,0.0
1076,0.0
1077,0.0
1078,0.0
1079,0.0
1080,0.3790554
1081,0.0
1082,0.0
1083,0.0
1084,0.0
1085,0.0
1086,1.7444453
1087,0.0
1088,0.0
1089,0.0
1090,4.321612e-05
1091,0.2925213
1092,0.28259993
1093,1.6193912
1094,0.53874886
1095,0.0
1096,0.022083316
1097,0.0
1098,0.0
1099,0.0
1100,0.7976619
1101,1.0218736
1102,2.3369615
1103,0.0
1104,0.0
1105,0.007666516
1106,0.0
1107,1.4932852
1108,0.0
1109,0.0
1110,0.0
1111,0.0
1112,0.0
1113,0.0
1114,0.018844606
1115,0.820981
1116,0.0
1117,0.0
1118,0.0
1119,0.0
1120,0.0
1121,0.0
1122,0.0
1123,1.3410174
1124,0.0
1125,0.0
1126,0.0
1127,0.0
1128,0.0
1129,0.0
1130,0.0
1131,0.0
1132,0.2611367
1133,0.0
1134,0.0
1135,0.0
1136,0.0
1137,0.0
1138,0.0
1139,0.0
1140,0.0
1141,0.0
1142,0.0
1143,0.0
1144,0.0
1145,0.0
1146,0.0
1147,0.0
1148,0.0
1149,0.0
1150,0.0
1151,0.0
1152,0.0
1153,0.0
1154,0.031396143
1155,0.0
1156,0.0
1157,0.0
1158,0.0
1159,0.0
1160,0.0
1161,0.0
1162,0.0
1163,0.0
1164,0.0
1165,0.0
1166,0.0
1167,0.0
1168,0.0
1169,0.0
1170,0.0
1171,0.0
1172,0.06480429
1173,0.0
1174,0.0
1175,0.0
1176,0.0
1177,0.4544213
1178,0.2513989
1179,0.0
1180,0.0
1181,0.0
1182,0.0
1183,0.0
1184,0.0
1185,0.0
1186,0.0
1187,0.0
1188,0.0
1189,0.00060817145
1190,0.07504175
1191,0.19610843
1192,0.0
1193,0.0
1194,0.437833
1195,9.293229
1196,0.0
1197,0.15885209
1198,0.0
1199,0.0046219565
1200,0.0
1201,0.0
1202,0.0
1203,0.0038143718
1204,0.48309907
1205,0.00034986847
1206,0.0
1207,0.0
1208,0.0
1209,0.0
1210,0.7845849
1211,0.0
1212,0.28338867
1213,0.0
1214,0.0
1215,0.48151544
1216,0.0006702947
1217,0.103296265
1218,0.0
1219,0.0
1220,0.0
1221,0.0
1222,0.0
1223,0.0
1224,0.0
1225,0.0
1226,0.0
1227,0.0
1228,0.0
1229,0.0
1230,0.012465806
1231,0.0
1232,0.029666852
1233,0.0
1234,0.0
1235,0.06942276
1236,0.0
1237,1.0250519e-05
1238,0.0
1239,0.0
1240,1.0108691
1241,0.0
1242,0.0
1243,0.18845092
1244,0.054887693
1245,0.0
1246,0.0
1247,0.0
1248,0.116878025
1249,0.04029044
1250,0.0
1251,0.0
1252,0.0
1253,0.0
1254,0.0
1255,0.0
1256,0.0
1257,0.0
1258,0.30400527
1259,0.0
1260,0.13845877
1261,0.0
1262,0.0
1263,0.59711987
1264,0.0
1265,0.6026074
1266,0.0
1267,0.0
1268,0.0
1269,0.0
1270,0.0
1271,0.0
1272,0.0
1273,0.0
1274,0.0
1275,0.0
1276,0.15073022
1277,0.0037401805
1278,0.0
1279,0.0
1280,0.0
1281,0.0
1282,0.0
1283,0.0
1284,0.0
1285,0.0
1286,0.0
1287,0.0
1288,0.30398694
1289,0.0
1290,0.0
1291,0.0
1292,0.0
1293,0.34246317
1294,0.03514354
1295,0.0
1296,0.021082925
1297,0.0
1298,0.0
1299,0.0
1300,0.030479943
1301,0.16250412
1302,0.0
1303,0.0
1304,0.0
1305,0.0
1306,0.0
1307,0.77905065
1308,0.0
1309,0.0
1310,0.23596676
1311,0.012917134
1312,0.0
1313,0.0
1314,0.0
1315,0.0
1316,0.0
1317,0.0
1318,0.0
1319,0.0
1320,0.040076755
1321,0.0
1322,0.0
1323,0.0
1324,1.7809147
1325,7.0134985e-05
1326,0.00743419
1327,0.0
1328,0.0
1329,0.0
1330,0.0
1331,0.0
1332,0.0
1333,0.0
1334,0.0
1335,0.0
1336,0.0
1337,0.009483447
1338,0.0
1339,0.0
1340,0.0
1341,0.0
1342,0.47210237
1343,0.74425125
1344,0.18943857
1345,0.0
1346,0.0
1347,0.0
1348,0.0
1349,0.0
1350,0.0
1351,0.1509031
1352,0.0
1353,0.104120225
1354,0.0
1355,0.0
1356,0.0
1357,0.0
1358,0.6787283
1359,0.0
1360,0.0
1361,0.0
1362,0.0
1363,0.0
1364,0.0
1365,0.008595004
1366,0.5513886
1367,0.0
1368,0.0
1369,0.9346184
1370,0.0
1371,0.08824047
1372,0.0
1373,0.0
1374,0.0
1375,0.0
1376,0.0
1377,0.0
1378,0.0
1379,0.0
1380,0.0
1381,0.0
1382,0.0
1383,0.0
1384,0.0
1385,0.0
1386,0.0
1387,0.0
1388,0.0
1389,0.0
1390,0.0
1391,0.0
1392,0.0
1393,0.0
1394,0.0
1395,0.0
1396,0.0
1397,2.5956671
1398,0.0
1399,1.0439628
1400,0.0
1401,0.44534352
1402,0.0
1403,0.0
1404,0.0
1405,0.0
1406,0.0
1407,0.0
1408,0.0
1409,0.074946344
1410,0.0
1411,0.0
1412,0.0
1413,0.0
1414,0.0
1415,0.0
1416,0.0
1417,0.0
1418,0.0
1419,0.0
1420,1.0292494
1421,0.0
1422,0.0
1423,0.1992129
1424,0.0
1425,0.0
1426,0.0
1427,0.0
1428,0.0
1429,0.0
1430,0.0
1431,0.0
1432,0.0
1433,0.0
1434,0.0
1435,0.0
1436,0.0
1437,0.0
1438,0.0
1439,0.0
1440,0.0
1441,0.0
1442,0.0
1443,0.0
1444,0.0
1445,0.0
1446,0.0
1447,0.0
1448,0.0
1449,0.0
1450,0.0
1451,0.0
1452,0.0
1453,0.0
1454,0.0077320184
1455,0.0
1456,5.229125
1457,0.0
1458,2.0191495
1459,0.0
1460,0.0
1461,0.0
1462,0.0
1463,0.6018472
1464,0.5610358
1465,0.0
1466,1.4684266
1467,0.0
1468,0.0
1469,0.0
1470,0.0
1471,0.0
1472,0.0
1473,0.0
1474,0.0
1475,0.11942487
1476,0.0
1477,0.0
1478,0.0
1479,0.0
1480,0.0
1481,0.0
1482,0.0
1483,0.0
1484,0.0
1485,0.0
1486,0.0
1487,0.0
1488,0.0
1489,0.0
1490,0.06063136
1491,0.0029381064
1492,0.0
1493,0.0
1494,0.0
1495,0.0
1496,0.0
1497,0.0
1498,0.0
1499,0.0
1500,0.6107612
1501,0.0
1502,0.0
1503,1.7900947
1504,0.0
1505,0.10642396
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.06043426
1514,0.0
1515,0.8180753
1516,0.0
1517,0.2964797
1518,0.012170681
1519,2.3552396
1520,0.0
1521,0.0
1522,0.0
1523,0.015746357
1524,0.0
1525,0.32021528
1526,0.23645833
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.09360393
1536,0.0
1537,0.00016563374
1538,0.0
1539,0.0
1540,0.030053433
1541,0.0
1542,0.0
1543,0.44925663
1544,0.0
1545,0.0
1546,0.43337733
1547,0.5078178
1548,1.2194577
1549,0.0
1550,0.0
1551,0.0
1552,1.2329209
1553,0.0
1554,0.0
1555,0.07524719
1556,0.19561881
1557,0.10284303
1558,0.16070203
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,3.05739
1564,0.0
1565,0.0
1566,0.0
1567,0.019269507
1568,0.0
1569,0.0
1570,0.3169525
1571,0.0
1572,0.0032512236
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.23872975
1578,0.18198852
1579,0.0
1580,0.0
1581,0.0
1582,0.40706027
1583,2.4431376
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.62468326
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.28833717
1614,0.19423726
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.21949148
1620,0.0
1621,0.11464861
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.2762749
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.053182013
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.00030126542
1671,0.0
1672,0.0
1673,0.0
1674,0.4185117
1675,0.00085388165
1676,0.3320969
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0024725273
1686,0.0
1687,0.015084371
1688,0.10109237
1689,0.0
1690,0.0
1691,0.024137616
1692,0.0
1693,0.081870966
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.46744066
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,1.5569967
1709,0.0
1710,0.0
1711,0.0
1712,0.00033158448
1713,0.28993893
1714,0.36416703
1715,1.5944778
1716,0.5178738
1717,0.0
1718,0.010744803
1719,0.0
1720,0.0
1721,0.0
1722,0.68403506
1723,0.93782246
1724,2.3040793
1725,0.0
1726,0.0
1727,0.0006191382
1728,0.0
1729,1.3973107
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.014390544
1737,0.68647665
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,1.3728817
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.2677055
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.016886353
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.16814825
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.55462414
1800,0.25866994
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.017401678
1812,0.10064368
1813,0.12986852
1814,0.0
1815,0.0
1816,0.3371862
1817,9.640104
1818,0.0
1819,0.122460164
1820,0.0
1821,0.0019790041
1822,0.0
1823,0.0
1824,0.0
1825,0.0038701068
1826,0.45889246
1827,0.0005978076
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.7720371
1833,0.0
1834,0.3036944
1835,0.0
1836,0.0
1837,0.53641313
1838,1.1759083e-05
1839,0.11285441
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.008531929
1853,0.0
1854,0.020889826
1855,0.0
1856,0.0
1857,0.05974768
1858,0.0
1859,0.0005796968
1860,0.0
1861,0.0
1862,1.0282402
1863,0.0
1864,0.0
1865,0.17365275
1866,0.07574719
1867,0.0
1868,0.0
1869,0.0
1870,0.10420845
1871,0.03436154
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.31675714
1881,0.0
1882,0.14724278
1883,0.0
1884,0.0
1885,0.5788323
1886,0.0
1887,0.5816925
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.1659127
1899,0.00452155
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.25479802
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.3010599
1916,0.026726812
1917,0.0
1918,0.032064855
1919,0.0
1920,0.0
1921,0.0
1922,0.07383243
1923,0.15995616
1924,0.0
1925,0.0
1926,0.0
1927,0.0
1928,0.0
1929,0.838593
1930,0.0
1931,0.0
1932,0.2437536
1933,0.019862406
1934,0.0
1935,0.0
1936,0.0
1937,0.0
1938,0.0
1939,0.0
1940,0.0
1941,0.0
1942,0.03465439
1943,0.0
1944,0.0
1945,0.0
1946,1.8223224
1947,0.0
1948,0.008176293
1949,0.0
1950,0.0
1951,0.0
1952,0.0
1953,0.0
1954,0.0
1955,0.0
1956,0.0
1957,0.0
1958,0.0
1959,0.012290247
1960,0.0
1961,0.0
1962,0.0
1963,0.0
1964,0.5248276
1965,0.75881404
1966,0.2107139
1967,0.0
1968,0.0
1969,0.0
1970,0.0
1971,0.0
1972,0.0
1973,0.12637353
1974,0.0
1975,0.097278036
1976,0.0
1977,0.0
1978,0.0
1979,0.0
1980,0.6798485
1981,0.0
1982,0.0
1983,0.0
1984,0.0
1985,0.0
1986,0.0
1987,0.035849445
1988,0.52343893
1989,0.0
1990,0.0
1991,0.92585397
1992,0.0
1993,0.07557605
1994,0.0
1995,0.0
1996,0.0
1997,0.0
1998,0.0
1999,0.0
2000,0.0
2001,0.0
2002,0.0
2003,0.0
2004,0.0
2005,0.0
2006,0.0
2007,0.0
2008,0.0
2009,0.0
2010,0.0
2011,0.0
2012,0.0
