,0
536,0.32238767
537,0.0
538,0.65602005
539,0.41336754
540,0.0
541,0.73482066
542,0.9802031
543,0.0
544,0.0
545,0.0
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,0.00029355375
556,0.0
557,0.0
558,0.0
559,0.0
560,0.0
561,0.0
562,0.0
563,0.0
564,0.10050387
565,0.0
566,0.0
567,0.0
568,0.29413584
569,0.5827953
570,0.0
571,0.7375582
572,0.0
573,0.0
574,0.6421356
575,0.0
576,0.0
577,0.0
578,5.738439
579,0.10716069
580,4.087795
581,0.0
582,0.22438975
583,0.0
584,0.0
585,0.0
586,0.0
587,0.0
588,0.0
589,0.51673657
590,0.0
591,1.1576166
592,2.611515
593,0.0
594,0.0
595,0.0
596,0.017597398
597,0.0
598,0.0
599,0.0
600,0.0
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,0.0
607,0.0
608,0.52520114
609,0.0
610,0.0
611,0.0
612,0.0
613,0.44716844
614,0.003296614
615,0.0543957
616,0.08685929
617,0.0
618,0.14456843
619,0.0
620,0.0
621,0.0
622,0.0
623,0.0
624,0.17617133
625,2.536179
626,0.0
627,0.0
628,0.0
629,0.0
630,0.0
631,0.0
632,0.0
633,0.0017714007
634,0.0
635,0.8472541
636,0.0
637,0.026539119
638,0.0
639,0.0
640,0.0
641,0.0
642,0.0
643,0.0
644,0.0
645,0.0
646,1.1560588
647,1.7822641
648,0.045626823
649,0.4982798
650,0.0
651,0.0
652,0.0
653,0.0
654,0.0
655,0.4217528
656,0.35305342
657,0.0
658,0.0
659,0.0
660,0.0
661,0.0
662,0.0
663,0.025276683
664,0.0
665,0.0
666,0.0
667,0.16743392
668,0.0
669,0.0
670,0.0
671,0.0
672,2.8516154
673,0.01802661
674,0.0
675,0.0
676,0.68580717
677,0.0
678,0.0
679,0.0
680,0.0
681,0.0
682,0.07926687
683,0.30479136
684,0.0
685,0.0
686,0.0
687,0.0
688,0.0
689,0.0
690,0.0
691,0.015749773
692,0.0
693,0.0
694,0.0
695,0.0
696,0.0
697,0.0
698,0.0
699,0.0
700,0.0
701,0.0
702,0.07223291
703,0.0
704,0.0
705,0.0
706,0.0
707,0.0
708,0.0
709,0.0
710,0.0
711,0.45833057
712,0.0
713,0.0
714,0.12548377
715,0.0
716,0.0
717,0.0
718,0.122243926
719,0.0
720,0.010804449
721,0.0
722,0.0
723,0.0
724,5.2423497e-05
725,0.0
726,0.0
727,0.0
728,0.0
729,0.0
730,0.5770763
731,0.0514187
732,0.0
733,0.0
734,0.0
735,0.0
736,0.0
737,0.0
738,0.13626036
739,0.0
740,0.0
741,0.038978007
742,0.0
743,0.0
744,0.0
745,0.0
746,0.0
747,0.0
748,0.0
749,0.0
750,0.0
751,0.0
752,0.0
753,0.25169054
754,0.0
755,0.0
756,0.0
757,0.0
758,0.0
759,0.0
760,0.0
761,0.0
762,1.1947904
763,3.367304
764,1.0628195
765,0.0
766,0.0
767,0.0
768,0.0
769,0.0
770,0.0
771,0.0
772,0.0
773,1.6857817
774,0.0
775,0.0
776,0.66380274
777,2.7765286
778,1.0315381
779,1.0723147
780,0.0
781,0.0
782,0.0
783,0.0
784,0.0
785,0.0
786,0.0
787,0.0
788,0.0
789,0.0
790,0.0
791,0.0
792,0.0
793,0.31325847
794,0.12439854
795,0.0
796,0.0
797,0.0
798,0.0
799,0.0
800,0.0
801,0.06237837
802,0.0
803,0.12473305
804,0.0
805,0.2049027
806,0.0
807,0.0
808,0.0
809,0.0
810,0.0
811,0.0
812,0.0
813,0.017163008
814,0.0
815,0.0
816,0.0
817,0.0
818,0.0
819,0.0
820,0.0
821,0.0
822,0.0
823,0.33090994
824,0.0
825,0.0
826,0.0
827,0.0
828,0.0
829,0.0
830,0.0
831,0.0
832,0.0
833,0.0
834,0.0
835,0.0
836,0.0
837,0.0
838,0.0
839,0.0
840,0.0
841,0.0
842,0.0
843,0.0
844,0.0
845,0.0
846,0.0
847,0.0
848,0.0
849,0.0
850,0.0
851,0.0
852,0.0
853,0.0
854,0.025242079
855,0.0
856,0.0
857,0.0
858,0.0
859,0.0
860,0.0
861,0.0
862,0.0
863,0.0
864,0.0
865,0.0
866,0.0
867,0.0
868,0.0
869,0.9495419
870,0.0
871,0.0
872,0.0
873,0.0
874,0.0
875,0.0
876,0.0
877,0.0
878,0.0
879,0.0
880,0.11302206
881,0.044217493
882,0.39893606
883,0.0
884,0.0
885,0.0
886,0.0
887,0.0
888,0.7616632
889,0.0
890,0.004798974
891,0.0
892,0.106077835
893,1.3729832
894,0.3066939
895,0.0
896,0.0
897,0.0
898,0.0
899,0.0
900,0.0
901,0.0
902,0.0
903,0.0
904,0.0
905,0.0
906,0.0
907,0.0
908,0.0
909,0.0
910,0.28175095
911,0.48577923
912,0.0
913,0.0
914,0.0
915,0.0
916,0.0
917,0.0
918,0.0
919,0.0
920,0.0
921,0.0
922,0.0
923,0.0
924,0.0
925,0.0008846529
926,0.0
927,0.07806286
928,0.0
929,0.2163678
930,0.9487954
931,1.4035857
932,0.81368756
933,0.0
934,0.0
935,0.6929352
936,0.0
937,0.0
938,0.064685404
939,0.0
940,0.44855312
941,0.0037332603
942,0.037064265
943,0.0
944,0.0
945,0.0
946,0.55413175
947,0.0
948,0.0
949,0.0
950,1.4648625
951,0.0
952,0.0
953,1.2360295
954,0.0
955,0.0073215663
956,0.024653396
957,0.0
958,0.0
959,0.0
960,0.030533638
961,0.07477544
962,0.0
963,0.0
964,0.0
965,0.0
966,0.0
967,0.0
968,0.0
969,0.0
970,0.0
971,0.0
972,0.0
973,0.0
974,0.0
975,0.0
976,0.0
977,0.0
978,0.0
979,0.0
980,0.0
981,0.0
982,0.0
983,0.0
984,0.0
985,0.0
986,0.0
987,0.030019205
988,0.0
989,0.0
990,0.0
991,0.0
992,0.0
993,0.0
994,0.0
995,0.0
996,5.33362e-05
997,0.8475108
998,0.0
999,0.015652863
1000,0.06721318
1001,0.0
1002,0.0
1003,0.012912536
1004,0.0
1005,0.0
1006,0.0
1007,0.0
1008,0.0
1009,0.0
1010,0.0
1011,0.0
1012,0.0
1013,0.0
1014,0.0
1015,0.0
1016,0.0
1017,0.0
1018,0.0
1019,0.0
1020,0.5462859
1021,0.0
1022,0.0
1023,0.0
1024,0.0
1025,0.0
1026,0.0
1027,0.0
1028,0.0
1029,0.0
1030,0.0
1031,0.0
1032,0.8319245
1033,0.53017217
1034,0.0
1035,0.0
1036,0.0
1037,0.0
1038,0.0
1039,0.0
1040,0.0
1041,0.0
1042,0.0010107876
1043,0.0
1044,0.0
1045,0.0
1046,0.0
1047,0.0
1048,0.0
1049,0.0
1050,0.0
1051,0.0
1052,0.010897851
1053,0.0
1054,0.0
1055,0.0
1056,0.0
1057,0.0
1058,0.0
1059,0.0
1060,0.0
1061,0.0
1062,0.0
1063,0.02471356
1064,0.0
1065,0.0
1066,0.0
1067,0.0026227427
1068,0.0
1069,0.0
1070,0.0
1071,0.0
1072,0.0
1073,0.0
1074,0.025327368
1075,0.006423642
1076,0.0
1077,0.0
1078,0.0
1079,0.5320358
1080,0.0
1081,0.2681528
1082,0.0
1083,0.041768674
1084,0.0
1085,0.0
1086,0.0
1087,0.0
1088,0.0
1089,0.0
1090,0.0
1091,0.0
1092,0.0
1093,0.0
1094,0.0
1095,0.0
1096,0.0
1097,0.0
1098,0.0
1099,0.0
1100,0.0
1101,0.0
1102,0.0
1103,0.0
1104,0.0
1105,0.0
1106,0.07778288
1107,0.0
1108,0.00048481545
1109,0.0
1110,1.487476
1111,0.0
1112,0.97267693
1113,1.2668122
1114,0.0
1115,16.726305
1116,0.0
1117,0.0
1118,0.0
1119,0.0
1120,0.0
1121,0.0
1122,0.0
1123,3.8895772
1124,3.6288688
1125,0.0
1126,0.0
1127,2.0679502
1128,0.0
1129,1.3030539
1130,0.0
1131,0.0
1132,0.0
1133,1.1348956
1134,0.0
1135,0.0
1136,0.0
1137,0.0
1138,0.0
1139,0.0
1140,0.0
1141,0.0
1142,0.0
1143,0.0
1144,0.0
1145,0.0
1146,0.0
1147,0.0
1148,0.1623195
1149,0.0
1150,0.0
1151,0.0
1152,0.17344142
1153,0.31390694
1154,0.0
1155,1.5145116
1156,0.0
1157,0.0
1158,0.0
1159,1.1133848
1160,0.0
1161,0.33232865
1162,0.6744217
1163,0.0012343855
1164,0.0037997828
1165,0.0
1166,0.31390694
1167,2.6179736
1168,0.060653634
1169,0.0
1170,0.2336593
1171,0.100801595
1172,0.0
1173,0.35044736
1174,0.3692884
1175,0.0
1176,0.0
1177,0.0
1178,0.0
1179,0.0
1180,0.0
1181,0.0
1182,0.0
1183,0.0
1184,0.0
1185,0.0
1186,0.0
1187,0.0
1188,0.0
1189,0.0
1190,0.0
1191,0.0
1192,0.0
1193,0.0
1194,0.0
1195,0.014063573
1196,0.019221025
1197,0.0
1198,0.0
1199,0.0
1200,0.043002002
1201,0.13389975
1202,0.0
1203,0.48357552
1204,0.0
1205,0.0
1206,0.36318097
1207,0.0
1208,0.0
1209,0.0
1210,4.608525
1211,0.023323653
1212,3.478034
1213,0.026412537
1214,0.011330391
1215,0.0
1216,0.0
1217,0.0
1218,0.0
1219,0.0
1220,0.0
1221,0.2787001
1222,0.0
1223,0.743396
1224,2.1177096
1225,0.0
1226,0.0
1227,0.0
1228,0.0
1229,0.0
1230,0.0
1231,0.0
1232,0.0
1233,0.0
1234,0.0
1235,0.0
1236,0.0
1237,0.0
1238,0.0
1239,0.0
1240,0.2763024
1241,0.0
1242,0.0
1243,0.0
1244,0.0
1245,0.20787162
1246,0.0
1247,0.18449609
1248,0.22470108
1249,0.0
1250,0.028054869
1251,0.00077315274
1252,0.0
1253,0.0
1254,0.0
1255,0.0
1256,0.06546479
1257,1.8947872
1258,0.0
1259,0.0
1260,0.0
1261,0.0
1262,0.0
1263,0.0
1264,0.0
1265,0.01992267
1266,0.0
1267,1.0451729
1268,0.0
1269,0.07905328
1270,0.0
1271,0.0
1272,0.0
1273,0.0
1274,0.0
1275,0.0
1276,0.0
1277,0.0
1278,1.451027
1279,2.1661525
1280,0.07073146
1281,0.7595153
1282,0.0
1283,0.0
1284,0.0
1285,0.0
1286,0.0
1287,0.23618202
1288,0.19407324
1289,0.0
1290,0.0
1291,0.0
1292,0.0
1293,0.0
1294,0.009764491
1295,0.10823273
1296,0.0
1297,0.0
1298,0.0
1299,0.29704237
1300,0.0
1301,0.0
1302,0.0
1303,0.0
1304,2.3052752
1305,0.0
1306,0.0
1307,0.0
1308,0.78778225
1309,0.0
1310,0.0
1311,0.0
1312,0.0
1313,0.0
1314,0.19614124
1315,0.17102449
1316,0.0
1317,0.0
1318,0.0
1319,0.0
1320,0.0
1321,0.0
1322,0.0
1323,0.06592396
1324,0.0
1325,0.0
1326,0.0
1327,0.0
1328,0.0
1329,0.0
1330,0.0
1331,0.0
1332,0.0
1333,0.0
1334,0.012240768
1335,0.0
1336,0.0
1337,0.0
1338,0.0
1339,0.0
1340,0.0
1341,0.0
1342,0.0
1343,0.30483016
1344,0.0
1345,0.0
1346,0.034246683
1347,0.0
1348,0.0
1349,0.0
1350,0.26221874
1351,0.0
1352,0.0
1353,0.0
1354,0.0
1355,0.0
1356,0.024019385
1357,0.0
1358,0.0
1359,0.0
1360,0.0006172478
1361,0.0
1362,0.37687367
1363,0.15990804
1364,0.0
1365,0.0
1366,0.0
1367,0.0
1368,0.0
1369,0.0
1370,0.25639242
1371,0.0
1372,0.0059710452
1373,0.10443099
1374,0.0
1375,0.0
1376,0.0
1377,0.0
1378,0.0
1379,0.0
1380,0.0
1381,0.0026759787
1382,0.0
1383,0.0
1384,0.0
1385,0.4351367
1386,0.0
1387,0.0
1388,0.0
1389,0.0
1390,0.0
1391,0.0
1392,0.0
1393,0.0
1394,0.8540845
1395,2.9724643
1396,0.82657135
1397,0.0
1398,0.0
1399,3.3471497e-05
1400,0.0
1401,0.0
1402,0.0
1403,0.0
1404,0.0
1405,1.3743389
1406,0.0
1407,0.0
1408,0.22908166
1409,2.379136
1410,0.7370481
1411,1.4500055
1412,0.0
1413,0.0
1414,0.0
1415,0.0
1416,0.0
1417,0.0
1418,0.0
1419,0.0
1420,0.0
1421,0.0
1422,0.0
1423,0.0
1424,0.0
1425,0.15265474
1426,0.066451915
1427,0.0
1428,0.0
1429,0.0
1430,0.0
1431,0.0006623072
1432,0.0
1433,0.15786153
1434,0.0
1435,0.21390839
1436,0.0
1437,0.3206337
1438,0.0
1439,0.01038415
1440,0.0
1441,0.0
1442,0.0
1443,0.00883721
1444,0.0
1445,0.0
1446,0.0
1447,0.0
1448,0.0
1449,0.0
1450,0.0
1451,0.0
1452,0.0
1453,0.0
1454,0.0006315919
1455,0.17899491
1456,0.0
1457,0.0
1458,0.0
1459,0.0
1460,0.0
1461,0.0
1462,0.0
1463,0.0
1464,0.0
1465,0.0
1466,0.0
1467,0.0
1468,0.0
1469,0.0
1470,0.0
1471,0.0
1472,0.0
1473,0.0
1474,0.0
1475,0.0
1476,0.0014556781
1477,0.0
1478,0.0
1479,0.0
1480,0.0
1481,0.0
1482,0.0
1483,0.0
1484,0.0
1485,0.0
1486,4.8961676e-05
1487,0.0
1488,0.0
1489,0.0
1490,0.0
1491,0.0
1492,0.0
1493,0.0
1494,0.0
1495,0.0
1496,0.0
1497,0.0
1498,0.0
1499,0.0
1500,0.0
1501,1.2537483
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.21153976
1513,0.07772479
1514,0.5500807
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.77706546
1521,0.0
1522,0.0
1523,0.0
1524,0.20045674
1525,1.7095565
1526,0.4929508
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0056965607
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.18488395
1543,0.50260365
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.01540464
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.19116397
1560,0.0
1561,0.3570706
1562,0.7309836
1563,1.1785069
1564,0.6119624
1565,0.0
1566,0.0
1567,0.45169657
1568,0.0
1569,0.0
1570,0.13221242
1571,0.0
1572,0.6287874
1573,0.022430323
1574,0.09655562
1575,0.0
1576,0.0
1577,0.0
1578,0.7463957
1579,0.0
1580,0.0
1581,0.0
1582,1.904096
1583,0.0
1584,0.0
1585,0.8879468
1586,0.0
1587,0.057132497
1588,0.09976101
1589,0.014937688
1590,0.0
1591,0.0
1592,0.10991808
1593,0.15076266
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0035632446
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0058489274
1629,0.9542942
1630,0.0
1631,0.038813625
1632,0.1199949
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.549438
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.9111552
1665,0.35633326
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.03190692
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0016271569
1696,0.0
1697,0.0
1698,0.0
1699,0.035573896
1700,0.0
1701,0.0
1702,0.009121707
1703,0.0
1704,0.0
1705,0.0
1706,0.08522911
1707,0.047242228
1708,0.00066801824
1709,0.0
1710,0.004565186
1711,0.3802467
1712,0.0
1713,0.41474357
1714,0.0
1715,0.010205298
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.18983755
1739,1.1439849e-07
1740,0.0
1741,0.0042258175
1742,1.866608
1743,5.8612377e-06
1744,1.2113606
1745,1.5202324
1746,0.0
1747,14.736192
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,2.4133217
1756,3.0162137
1757,0.0
1758,0.0
1759,1.8601474
1760,0.0
1761,1.4668754
1762,0.0
1763,0.0
1764,0.0
1765,0.81180733
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.17339176
1781,0.0
1782,0.0
1783,0.0
1784,0.0029538772
1785,0.030130405
1786,0.0
1787,1.1213175
1788,0.0
1789,0.0
1790,0.0
1791,0.35730964
1792,0.0
1793,0.17763725
1794,0.963003
1795,0.0
1796,0.0
1797,0.0
1798,0.030130405
1799,1.8219815
1800,0.0
1801,0.0
1802,0.002291538
1803,0.0
1804,0.0
1805,0.066688694
1806,0.037922952
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.061250553
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.34074718
1836,0.0
1837,0.0
1838,0.19790033
1839,0.0
1840,0.0
1841,0.0
1842,3.4147527
1843,0.0023825818
1844,2.707689
1845,0.23053153
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.15665847
1854,0.0
1855,0.4869378
1856,1.6923255
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.15166198
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.09368929
1878,0.0
1879,0.32370794
1880,0.3872773
1881,0.0013110421
1882,4.580348e-06
1883,0.028002117
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.022145992
1889,1.4580778
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.01857128
1898,0.0
1899,0.90923095
1900,0.0
1901,0.057388987
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,1.3841507
1911,2.1105113
1912,0.059723925
1913,0.79662544
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.22330482
1920,0.19365455
1921,0.0
1922,0.0
1923,0.0
1924,0.0
1925,0.0
1926,0.009228722
1927,0.12512079
1928,0.0
1929,0.0
1930,0.0
1931,0.31161043
1932,0.0
1933,0.0
1934,0.0
1935,0.0
1936,2.2305732
1937,0.0
1938,0.0
1939,0.0
1940,0.7137002
1941,0.0
1942,0.0
1943,0.0
1944,0.0
1945,0.0
1946,0.20332795
1947,0.17554528
1948,0.0
1949,0.0
1950,0.0
1951,0.0
1952,0.0
1953,0.0
1954,0.0
1955,0.05092196
1956,0.0
1957,0.0
1958,0.0
1959,0.0
1960,0.0
1961,0.0
1962,0.0
1963,0.0
1964,0.0
1965,0.0
1966,0.011206934
1967,0.0
1968,0.0
1969,0.0
1970,0.0
1971,0.0
1972,0.0
1973,0.0
1974,0.0
1975,0.29397708
1976,0.0
1977,0.0
1978,0.027376598
1979,0.0
1980,0.0
1981,0.0
1982,0.3050976
1983,0.0
1984,0.0
1985,0.0
1986,0.0
1987,0.0
1988,0.03275803
1989,0.0
1990,0.0
1991,0.0
1992,0.0005607123
1993,0.0
1994,0.3814678
1995,0.17947283
1996,0.0
1997,0.0
1998,0.0
1999,0.0
2000,0.0
2001,0.0
2002,0.2414818
2003,0.0
2004,0.0025201559
2005,0.0837465
2006,0.0
2007,0.0
2008,0.0
