,0
531,2.0909386
532,2.3977244
533,0.6565612
534,0.17794625
535,1.9129981
536,0.0
537,0.0
538,0.0
539,0.0
540,0.0
541,0.0
542,0.0
543,0.0
544,0.0
545,0.0
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0051138806
555,0.09387595
556,0.0
557,0.0
558,0.0
559,0.0
560,0.0
561,0.0
562,0.039622664
563,0.0
564,0.0
565,0.0
566,0.0
567,0.0
568,0.0
569,0.0
570,0.0
571,0.0
572,0.0
573,2.6166759
574,0.097859554
575,0.0
576,0.0
577,0.2135496
578,1.9387169
579,2.411761
580,0.0
581,0.25074404
582,0.0
583,0.24006954
584,0.0
585,0.0
586,0.0
587,0.0
588,0.0038421757
589,0.0
590,0.0
591,0.0
592,0.0
593,0.0
594,0.0
595,0.0
596,0.0
597,0.3968015
598,0.0
599,0.0
600,0.0
601,0.0
602,0.12100038
603,0.0
604,0.0
605,0.0
606,0.0
607,0.0
608,0.0
609,0.0
610,0.0
611,0.0
612,0.0
613,0.0
614,0.0013597527
615,3.3200397
616,2.3818433
617,0.0
618,0.0
619,0.54897356
620,0.0
621,7.257393
622,0.43451333
623,0.0
624,0.0
625,0.0
626,0.0
627,0.0
628,0.0
629,1.9310323
630,0.2568302
631,0.0
632,0.0
633,0.0
634,0.0
635,0.0
636,0.0
637,0.0
638,0.0
639,0.0
640,0.0
641,1.9095819
642,0.25958064
643,0.0
644,0.0
645,0.0
646,0.0
647,0.0054999297
648,0.0
649,0.0032904218
650,0.0
651,0.0
652,0.0
653,0.0
654,0.0
655,0.0
656,0.0
657,0.0
658,0.0
659,0.0
660,0.0
661,0.0
662,0.0
663,0.23949529
664,0.0
665,0.0
666,0.0
667,0.0
668,0.0
669,0.73577046
670,0.0
671,0.0
672,0.0
673,0.0
674,0.0
675,4.96419
676,0.0
677,0.0
678,0.0
679,0.0
680,0.0
681,0.0
682,0.0
683,0.0
684,0.0
685,0.12064989
686,0.0
687,0.0
688,0.0
689,0.0
690,0.0
691,0.0
692,0.0
693,0.0
694,0.0
695,0.06770008
696,0.0
697,0.0
698,0.0
699,0.0
700,0.0
701,0.0
702,0.0
703,0.0
704,0.0
705,0.0
706,0.0
707,0.0
708,0.107601814
709,0.0
710,0.0
711,0.0
712,0.0453803
713,0.24108107
714,0.0
715,1.4278412
716,0.0
717,0.0
718,0.0
719,0.0
720,0.0
721,0.0
722,0.2517729
723,0.04280603
724,0.0
725,0.0
726,0.25190204
727,0.0
728,0.0
729,0.0
730,0.0
731,0.04940137
732,0.101252705
733,0.0
734,0.0
735,0.0
736,0.69490486
737,0.0
738,0.0
739,0.0
740,0.18067077
741,0.0
742,0.0
743,0.0
744,0.0031800931
745,0.0
746,0.0
747,0.0
748,0.5284806
749,0.0
750,0.0
751,0.0
752,0.10480703
753,0.0
754,0.0
755,0.0
756,0.0
757,0.020891082
758,0.0
759,0.82959956
760,0.0
761,0.0
762,0.0
763,0.0
764,0.0
765,0.0
766,0.0
767,4.7773023
768,1.4217014
769,0.0
770,0.0
771,0.0
772,0.0
773,0.0
774,0.0
775,0.0
776,0.0
777,0.0
778,0.13711399
779,0.0
780,0.0
781,0.0
782,0.0
783,0.0
784,0.0
785,0.0
786,0.0
787,0.0
788,0.0
789,0.0
790,0.2025922
791,0.0
792,0.0
793,0.0
794,0.0
795,0.0
796,0.19632776
797,0.0062795444
798,0.0
799,0.0
800,0.0
801,0.0
802,0.0
803,0.0
804,0.0
805,0.0
806,0.0
807,0.0
808,0.0
809,0.17884366
810,0.0
811,0.0
812,0.0
813,0.0
814,0.0
815,0.00015829224
816,0.0
817,0.47860423
818,0.0
819,0.0
820,0.0
821,7.7318025
822,0.0
823,0.24635799
824,0.0
825,0.010451388
826,0.0
827,0.0
828,0.0
829,0.0
830,0.0
831,0.21985722
832,0.0
833,0.10891783
834,0.0
835,0.0
836,0.0
837,0.0
838,0.0
839,0.0
840,0.0
841,0.0
842,0.0012931509
843,0.0
844,0.0
845,0.0
846,0.0
847,0.0045028366
848,0.0
849,0.0
850,0.034388203
851,0.0
852,0.093031816
853,0.6558966
854,0.0
855,0.27923316
856,0.0
857,0.0
858,0.0
859,0.0
860,0.0
861,0.0
862,0.0
863,0.0
864,0.0
865,0.0
866,0.0
867,0.0
868,0.0
869,0.6797907
870,0.29737654
871,0.86145985
872,0.011215905
873,0.24626693
874,0.0
875,0.0
876,0.0
877,0.0
878,0.0
879,0.14555472
880,0.0
881,0.0
882,0.0
883,0.0
884,0.0
885,0.9502632
886,0.0
887,0.15517612
888,0.40141624
889,0.0
890,0.76661617
891,0.0
892,0.5305821
893,0.0
894,0.0
895,0.0
896,0.0
897,0.8109436
898,1.0012279
899,0.26747954
900,1.0575713
901,0.24163923
902,0.04749237
903,2.0964692
904,0.3125885
905,2.1312146
906,0.0
907,0.0
908,0.0
909,0.0
910,0.0
911,0.0
912,0.0
913,0.0
914,0.0
915,0.011861477
916,0.056537125
917,0.0
918,0.0
919,0.0
920,0.29742956
921,0.051569354
922,0.0
923,0.0
924,0.20351653
925,1.2883278
926,2.5939786
927,0.6109842
928,0.0
929,0.0
930,0.0
931,0.02646879
932,0.00023155047
933,0.0
934,0.0
935,0.0
936,0.0
937,0.0
938,0.0
939,0.0
940,0.93355983
941,0.7083392
942,0.0148655865
943,0.14127152
944,0.0
945,0.0
946,0.0
947,0.0
948,0.0
949,0.0
950,2.1297505
951,0.0
952,0.0
953,0.0
954,0.0
955,0.0
956,0.0
957,0.0
958,0.0
959,0.0
960,0.0
961,0.0
962,0.0
963,0.0
964,0.0
965,0.0
966,0.0
967,0.0
968,0.0
969,0.0
970,0.0
971,0.0
972,0.0
973,0.0
974,0.0
975,0.0
976,0.0
977,0.0
978,0.101137295
979,0.0
980,0.0
981,0.0
982,0.0
983,0.0
984,0.0
985,0.026785204
986,0.0
987,0.0
988,0.0
989,0.0
990,0.0
991,0.0
992,0.0
993,0.0
994,0.0
995,0.0
996,0.0
997,0.0
998,0.0
999,0.0
1000,0.0
1001,0.0
1002,0.0
1003,0.0
1004,0.8483965
1005,0.0
1006,0.12717235
1007,0.0
1008,0.0
1009,0.0
1010,0.0
1011,0.034299318
1012,0.0
1013,0.0
1014,0.0
1015,0.0
1016,0.0
1017,0.0
1018,0.0
1019,0.0
1020,0.0
1021,0.0
1022,0.0
1023,0.0
1024,0.0
1025,0.0
1026,0.0
1027,0.0
1028,0.0
1029,0.0
1030,0.35929298
1031,0.30298516
1032,0.0
1033,0.4813987
1034,0.0
1035,0.0
1036,0.0
1037,0.0
1038,0.0
1039,0.0
1040,0.0
1041,0.31109914
1042,0.0
1043,0.0
1044,0.0
1045,0.0
1046,0.0
1047,0.0
1048,0.0
1049,0.0
1050,0.0
1051,0.0
1052,0.0
1053,0.0
1054,0.0
1055,0.0
1056,0.0
1057,0.11319349
1058,0.0
1059,0.0
1060,0.0
1061,0.0
1062,0.0
1063,0.0
1064,0.0
1065,0.0
1066,0.0
1067,0.0
1068,0.0
1069,0.06580065
1070,0.024989877
1071,0.0
1072,0.0
1073,0.0
1074,0.6203078
1075,0.0
1076,0.0
1077,0.26356477
1078,0.0
1079,0.0
1080,0.0
1081,0.0
1082,0.0
1083,0.0
1084,0.0
1085,0.011912134
1086,0.484036
1087,0.0
1088,0.0
1089,0.0
1090,1.1702386
1091,0.0
1092,0.0
1093,0.0
1094,0.25764304
1095,0.0
1096,0.0
1097,3.5714254
1098,1.141846
1099,0.8347003
1100,2.3019447
1101,0.0
1102,0.005219749
1103,0.045051303
1104,0.0
1105,0.0
1106,1.0039295
1107,0.0
1108,2.9062014
1109,0.0
1110,0.0
1111,0.0
1112,0.0
1113,0.3991743
1114,0.84464943
1115,0.029885413
1116,0.0
1117,0.0032240525
1118,0.0
1119,0.0
1120,0.0
1121,0.0
1122,0.0
1123,0.0
1124,0.0
1125,0.0
1126,0.0
1127,0.0
1128,0.0
1129,0.0
1130,0.0
1131,0.0
1132,0.0
1133,0.0
1134,0.0
1135,0.091219455
1136,0.120294355
1137,0.0
1138,0.0
1139,0.0
1140,0.0
1141,0.0243277
1142,0.19627824
1143,0.0
1144,0.0
1145,0.0
1146,0.9282518
1147,0.0
1148,0.0
1149,0.0
1150,0.0
1151,0.034935087
1152,0.0
1153,0.06571374
1154,0.7872844
1155,1.1230474
1156,0.1420459
1157,0.0
1158,0.7415903
1159,0.0
1160,0.0
1161,0.0
1162,0.0
1163,0.0
1164,0.0
1165,0.0
1166,0.0
1167,0.0
1168,0.0
1169,0.0
1170,0.0
1171,0.0
1172,0.0
1173,0.0
1174,0.0
1175,0.0
1176,0.0
1177,0.11466034
1178,0.0021230394
1179,0.019598639
1180,0.0
1181,0.0
1182,0.0
1183,0.0
1184,0.0
1185,0.0
1186,0.0
1187,0.0
1188,0.0
1189,0.0
1190,0.0
1191,0.0
1192,0.0
1193,0.042308733
1194,0.0
1195,0.0
1196,1.6242999
1197,0.5608896
1198,0.0
1199,0.0
1200,0.0
1201,0.80096924
1202,1.1566509
1203,0.0
1204,0.04786472
1205,0.0
1206,0.0058767777
1207,0.0
1208,0.0
1209,0.0
1210,0.0
1211,0.14372392
1212,0.0
1213,0.0
1214,0.0
1215,0.0
1216,0.0
1217,0.01089097
1218,0.0
1219,0.0
1220,0.12404898
1221,0.0
1222,0.0
1223,0.0
1224,0.0
1225,0.2836229
1226,0.0
1227,0.0
1228,0.0
1229,0.0
1230,0.0
1231,0.0
1232,0.0
1233,0.0
1234,0.0
1235,0.0
1236,0.0
1237,0.10432091
1238,2.7816288
1239,1.5124396
1240,0.0
1241,0.0
1242,0.26827398
1243,0.0
1244,6.002163
1245,0.86051595
1246,0.0
1247,0.0
1248,0.0
1249,0.0
1250,0.0
1251,0.0
1252,2.0208106
1253,0.17424078
1254,0.0
1255,0.0
1256,0.0
1257,0.0
1258,0.0
1259,0.0
1260,0.0
1261,0.0
1262,0.0
1263,0.0
1264,1.9032634
1265,0.23573726
1266,0.0
1267,0.0
1268,0.0
1269,0.0
1270,0.005127416
1271,0.0
1272,0.0051861196
1273,0.0
1274,0.0
1275,0.0
1276,0.0
1277,0.0
1278,0.0
1279,0.0
1280,0.0
1281,0.0
1282,0.0
1283,0.0
1284,0.0
1285,0.0
1286,0.21278319
1287,0.0
1288,0.0
1289,0.0
1290,0.0
1291,0.0
1292,0.68454254
1293,0.0
1294,0.0
1295,0.0
1296,0.0
1297,0.0
1298,5.0313535
1299,0.0
1300,0.0
1301,0.0
1302,0.0
1303,0.0
1304,0.0
1305,0.0
1306,0.0
1307,0.0
1308,0.12719926
1309,0.0
1310,0.0
1311,0.0
1312,0.0
1313,0.0
1314,0.0
1315,0.0
1316,0.0
1317,0.0
1318,0.05590385
1319,0.0
1320,0.0
1321,0.0
1322,0.0
1323,0.0
1324,0.0
1325,0.0
1326,0.0
1327,0.0
1328,0.0
1329,0.0
1330,0.0
1331,0.08425714
1332,0.0
1333,0.0
1334,0.0
1335,0.044410005
1336,0.23044452
1337,0.0
1338,1.4412299
1339,0.0
1340,0.0
1341,0.0
1342,0.0
1343,0.0
1344,0.0
1345,0.25189608
1346,0.055036794
1347,0.0
1348,0.0
1349,0.25317943
1350,0.0
1351,0.0
1352,0.0
1353,0.0
1354,0.065855786
1355,0.091795295
1356,0.0
1357,0.0
1358,0.0
1359,0.57438886
1360,0.0
1361,0.0
1362,0.0
1363,0.11806846
1364,0.0
1365,0.0
1366,0.0
1367,0.0029625238
1368,0.0
1369,0.0
1370,0.0
1371,0.5025953
1372,0.0
1373,0.0
1374,0.0
1375,0.08621571
1376,0.0
1377,0.0
1378,0.0
1379,0.0
1380,0.022746434
1381,0.0
1382,0.84010345
1383,0.0
1384,0.0
1385,0.0
1386,0.0
1387,0.0
1388,0.0
1389,0.0
1390,4.750508
1391,1.3405541
1392,0.0
1393,0.0
1394,0.0
1395,0.0
1396,0.0
1397,0.0
1398,0.0
1399,0.0
1400,0.0
1401,0.1075458
1402,0.0
1403,0.0
1404,0.0
1405,0.0
1406,0.0
1407,0.0
1408,0.0
1409,0.0
1410,0.0
1411,0.0
1412,0.0
1413,0.25900105
1414,0.0
1415,0.0
1416,0.0
1417,0.0008781638
1418,0.0
1419,0.17226645
1420,0.0027467315
1421,0.0
1422,0.0
1423,0.0
1424,0.0
1425,0.0
1426,0.0
1427,0.0
1428,0.0
1429,0.0
1430,0.0
1431,0.0
1432,0.17678285
1433,0.0
1434,0.0
1435,0.0
1436,0.0
1437,0.0
1438,0.0
1439,0.0
1440,0.48112747
1441,0.0
1442,0.0
1443,0.0
1444,7.666016
1445,0.0
1446,0.17392386
1447,0.0
1448,0.00075434207
1449,0.0
1450,0.0
1451,0.0
1452,0.0
1453,0.0
1454,0.211916
1455,0.0
1456,0.10884393
1457,0.0
1458,0.0
1459,0.0
1460,0.0
1461,0.0
1462,0.0
1463,0.0
1464,0.0
1465,0.0021149763
1466,0.0
1467,0.0
1468,0.0
1469,0.0
1470,0.0011803118
1471,0.0
1472,0.0
1473,0.031375803
1474,0.0
1475,0.091259785
1476,0.68597066
1477,0.0
1478,0.27632606
1479,0.0
1480,0.0
1481,0.0
1482,0.0
1483,0.0
1484,0.0
1485,0.0
1486,0.0
1487,0.0
1488,0.0
1489,0.0
1490,0.0
1491,0.0
1492,0.71004874
1493,0.29997325
1494,0.79538107
1495,0.006792962
1496,0.21635164
1497,0.0
1498,0.0
1499,0.0
1500,0.0
1501,0.0
1502,0.14795896
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.994999
1509,0.0
1510,0.15743119
1511,0.43881866
1512,0.0
1513,0.7725513
1514,0.0
1515,0.59768695
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.85999686
1521,1.0942878
1522,0.2785296
1523,0.9979827
1524,0.23334272
1525,0.045442864
1526,2.1157577
1527,0.3314197
1528,2.1155298
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.00958527
1539,0.06090644
1540,0.0
1541,0.0
1542,0.0
1543,0.33606955
1544,0.052438073
1545,0.0
1546,0.0
1547,0.2101968
1548,1.2194432
1549,2.4419973
1550,0.6365289
1551,0.0
1552,0.0
1553,0.0
1554,0.024537696
1555,0.00937141
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.87406754
1564,0.6582575
1565,0.011544637
1566,0.16513786
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,2.163364
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.054985747
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,1.6813483e-05
1608,0.008867951
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.6524907
1628,0.0
1629,0.16963075
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0071089733
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.30549923
1654,0.35455573
1655,0.0
1656,0.39849445
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.3368899
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0016204246
1677,0.0
1678,0.0
1679,0.0
1680,0.08884772
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.07308335
1693,0.030480782
1694,0.0
1695,0.0
1696,0.0
1697,0.5406689
1698,0.0
1699,0.0
1700,0.25234774
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,5.2697276e-05
1709,0.5410989
1710,0.0
1711,0.0
1712,0.0
1713,1.1562572
1714,0.0
1715,0.0
1716,0.0
1717,0.15404102
1718,0.0
1719,0.0
1720,3.2204995
1721,0.9865876
1722,0.6315005
1723,1.9708933
1724,0.0
1725,0.0029302712
1726,0.0395538
1727,0.0
1728,0.0
1729,0.8927757
1730,0.0
1731,2.8079023
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.46476528
1737,0.7950998
1738,0.011098749
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.06698684
1759,0.15792537
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.039729618
1765,0.107268214
1766,0.0
1767,0.0
1768,0.0
1769,0.8016159
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0015467367
1775,0.0
1776,0.031839292
1777,0.5297032
1778,0.9126022
1779,0.09055674
1780,0.0
1781,0.54518574
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.1475295
1801,2.4260466e-05
1802,0.025674332
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.04366808
1817,0.0
1818,0.0
1819,1.4924895
1820,0.6613928
1821,0.0
1822,0.0
1823,0.0
1824,0.5931944
1825,0.9418625
1826,0.0
1827,0.041381717
1828,0.0
1829,0.0071127196
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.1713518
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.021125907
1841,0.0
1842,0.0
1843,0.11284065
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.3365801
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.107819974
1861,2.5332825
1862,1.4408132
1863,0.0
1864,0.0
1865,0.2332556
1866,0.0
1867,5.4781036
1868,0.8418851
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,2.0772734
1876,0.1219455
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,1.8481226
1888,0.22493097
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0030005006
1894,0.0
1895,0.0056493883
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.19769208
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.6564251
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,4.9557056
1922,0.0
1923,0.0
1924,0.0
1925,0.0
1926,0.0
1927,0.0
1928,0.0
1929,0.0
1930,0.0
1931,0.12290575
1932,0.0
1933,0.0
1934,0.0
1935,0.0
1936,0.0
1937,0.0
1938,0.0
1939,0.0
1940,0.0
1941,0.050721463
1942,0.0
1943,0.0
1944,0.0
1945,0.0
1946,0.0
1947,0.0
1948,0.0
1949,0.0
1950,0.0
1951,0.0
1952,0.0
1953,0.0
1954,0.11309238
1955,0.0
1956,0.0
1957,0.0
1958,0.0508234
1959,0.23431715
1960,0.0
1961,1.4954661
1962,0.0
1963,0.0
1964,0.0
1965,0.0
1966,0.0
1967,0.0
1968,0.23681831
1969,0.06220537
1970,0.0
1971,0.0
1972,0.24029629
1973,0.0
1974,0.0
1975,0.0
1976,0.0
1977,0.07783282
1978,0.07199345
1979,0.0
1980,0.0
1981,0.0
1982,0.49067193
1983,0.0
1984,0.0
1985,0.0
1986,0.07336926
1987,0.0
1988,0.0
1989,0.0
1990,0.0013576678
1991,0.0
1992,0.0
1993,0.0
1994,0.4997706
1995,0.0
1996,0.0
1997,0.0
1998,0.07361848
1999,0.0
2000,0.0
2001,0.0
2002,0.0
2003,0.02191664
2004,0.0
2005,0.8777633
