,0
532,0.0
533,0.0
534,0.0
535,0.0
536,0.7181373
537,0.90270984
538,0.18001181
539,0.5082778
540,0.8413206
541,0.06333543
542,0.21463509
543,0.0002831991
544,0.23736158
545,0.7747213
546,0.0
547,0.0
548,0.36957744
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,0.0
558,0.0
559,0.0
560,0.0
561,0.0
562,0.0
563,0.0
564,0.0
565,0.0
566,0.0
567,0.6791998
568,0.0
569,0.11763879
570,0.32739106
571,5.28998e-06
572,0.0
573,0.013493665
574,0.14805798
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,0.0
583,0.0
584,0.0
585,0.0
586,0.0
587,0.0
588,0.0
589,0.0
590,0.0
591,0.0
592,0.0
593,0.0
594,0.0
595,0.0
596,0.0
597,0.4136395
598,0.0
599,0.0
600,0.0
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,0.0
607,0.0
608,0.0
609,0.0
610,2.0686982
611,0.0
612,0.0
613,0.0
614,0.0
615,0.0
616,0.0
617,0.0
618,0.0
619,0.0
620,0.0060652746
621,0.0
622,0.0
623,0.0
624,0.0
625,0.0
626,0.0
627,0.0
628,0.018432291
629,0.0
630,0.0
631,0.0
632,0.0
633,0.0
634,0.0
635,0.0
636,0.0
637,0.0
638,0.4909502
639,0.0
640,0.53070354
641,0.0
642,0.14199974
643,0.0
644,0.0011004189
645,0.11286249
646,0.0
647,0.0
648,0.0
649,0.0
650,0.0
651,0.0
652,0.0
653,0.0
654,0.001812765
655,0.0
656,0.0
657,0.04209892
658,0.0
659,0.0
660,0.09037174
661,0.0
662,0.0
663,0.004635801
664,0.0
665,0.17192599
666,0.0
667,0.0
668,0.5988355
669,0.0
670,0.0
671,0.0
672,0.0
673,0.0
674,0.0
675,3.0516891
676,0.054021396
677,0.0
678,0.0
679,0.0
680,0.2681914
681,3.2073145
682,0.0
683,0.93386656
684,0.018136932
685,0.033255283
686,2.6381142
687,0.5700725
688,0.0
689,0.0
690,0.0
691,0.0
692,0.0
693,0.00016258322
694,0.04485821
695,0.0
696,0.0
697,0.0
698,0.0
699,0.0
700,0.0
701,0.0
702,0.0
703,0.0
704,0.07867058
705,0.0
706,0.0
707,0.0
708,0.4018348
709,0.01891287
710,0.0
711,0.0
712,0.0
713,0.0
714,0.0
715,0.0
716,0.0
717,0.0
718,0.0
719,0.0
720,0.76042384
721,0.094155505
722,0.0
723,0.0
724,0.0
725,0.0
726,0.0
727,0.0
728,0.6418263
729,0.026850538
730,0.04383059
731,0.08800455
732,0.0
733,1.8925624
734,6.0810976
735,0.0
736,1.1978956
737,1.5874203
738,0.41186514
739,0.18296069
740,0.32891995
741,0.0
742,0.0
743,0.0
744,0.027797453
745,0.0
746,0.0
747,0.0
748,0.0
749,0.0
750,0.0
751,0.0
752,0.0
753,0.0
754,0.0
755,0.0
756,0.11915953
757,0.0
758,0.0
759,0.0
760,0.0
761,0.0
762,0.0
763,0.0
764,0.0
765,0.0
766,0.0
767,0.0742978
768,0.0
769,0.0
770,0.0
771,0.0
772,0.0
773,0.0
774,0.0
775,0.0
776,0.0
777,0.0
778,0.0
779,0.0
780,0.0
781,0.0
782,0.012716171
783,0.0
784,0.04009885
785,0.0
786,0.0
787,0.0
788,0.0
789,0.0
790,0.0
791,0.0
792,0.0
793,0.0
794,0.0
795,0.0
796,0.0
797,0.0
798,0.0
799,0.0
800,0.0
801,0.0
802,0.0
803,0.0
804,0.0
805,0.0
806,0.0
807,0.0
808,0.0
809,0.0
810,0.0
811,0.0
812,0.0
813,0.0
814,0.0
815,0.0
816,0.0
817,0.0
818,0.0
819,0.0
820,0.0
821,0.0
822,0.0
823,0.0
824,0.0
825,0.0
826,0.5091428
827,0.0
828,0.0
829,0.00489953
830,0.0
831,0.008973529
832,0.0
833,0.0
834,0.0
835,0.0
836,1.2887366
837,0.0
838,0.0
839,0.0
840,0.0
841,0.0
842,0.32945767
843,0.13192928
844,0.0
845,0.0
846,0.0
847,0.0
848,0.01081239
849,0.0
850,0.0
851,0.0
852,0.007983658
853,0.0
854,0.0
855,0.0
856,0.0
857,0.0
858,0.0
859,0.0
860,0.0
861,0.0
862,0.0
863,0.0
864,0.0
865,0.0
866,0.13604678
867,0.0
868,0.0
869,0.0
870,0.31399375
871,0.0
872,0.0
873,0.0
874,0.026529219
875,0.16467194
876,0.0
877,0.41393563
878,0.0
879,0.0
880,0.0
881,0.0
882,0.0
883,0.0
884,0.0
885,0.0
886,0.0852361
887,0.0
888,0.008657973
889,0.0
890,0.0
891,0.0
892,0.0
893,0.041822854
894,0.08315155
895,0.136072
896,0.19572008
897,0.0
898,0.0
899,0.0
900,0.0
901,0.0
902,0.0
903,0.0
904,0.0
905,0.0
906,0.0
907,0.0002829906
908,0.0
909,0.0
910,0.0
911,0.0
912,0.0
913,0.0
914,0.0
915,0.0
916,0.0
917,0.0
918,0.0
919,0.03060351
920,0.0
921,0.0
922,0.0
923,0.0
924,0.0
925,0.0
926,0.0
927,0.0
928,0.0
929,0.0
930,0.0
931,0.0
932,0.0
933,0.0
934,0.0
935,0.09330674
936,0.0
937,0.0
938,0.0
939,0.0
940,0.0
941,0.0
942,0.0
943,0.0
944,0.0
945,0.0
946,0.0
947,0.0
948,0.0
949,0.0
950,0.0
951,0.0
952,0.0
953,0.03230733
954,0.0003727638
955,0.0
956,0.0
957,0.28842688
958,0.23255853
959,0.0
960,0.0
961,1.2591368
962,0.0
963,3.2553976
964,3.7139883
965,3.8900547
966,0.003460171
967,0.0
968,1.2126164
969,0.0
970,0.39529097
971,1.3213468
972,0.0
973,0.0
974,0.0005484664
975,0.0
976,0.0
977,0.0
978,0.0
979,0.0
980,0.0
981,0.0
982,3.0997407
983,0.0
984,0.3329662
985,9.688149
986,0.0
987,0.0
988,0.0
989,0.0
990,0.0
991,0.0018354964
992,0.0
993,0.0
994,0.0
995,0.0
996,0.22374599
997,0.0
998,0.0
999,0.16408259
1000,0.0
1001,0.0
1002,0.0
1003,0.0
1004,0.0
1005,0.0
1006,0.0
1007,0.0
1008,0.0
1009,0.0
1010,0.0
1011,0.0
1012,0.0
1013,0.0
1014,0.0
1015,0.0
1016,0.0
1017,0.0
1018,0.0
1019,0.0071698697
1020,0.015488797
1021,0.0
1022,0.0
1023,0.47161275
1024,0.0
1025,0.0
1026,0.0
1027,0.0
1028,0.0
1029,0.0
1030,0.0
1031,0.0
1032,0.0
1033,0.0
1034,0.012989288
1035,0.0
1036,0.0
1037,0.0
1038,0.0
1039,0.059795637
1040,0.0
1041,0.0
1042,0.0
1043,0.09764258
1044,0.039347865
1045,0.0
1046,0.0
1047,0.0
1048,0.0
1049,0.0
1050,0.0
1051,0.0
1052,0.0
1053,0.0
1054,0.0
1055,0.50307745
1056,0.0
1057,0.0
1058,0.0
1059,0.0
1060,0.0
1061,0.0
1062,0.0
1063,0.0
1064,0.0
1065,0.052905347
1066,0.0
1067,0.0
1068,0.23108892
1069,0.004870379
1070,0.0
1071,0.0
1072,0.0
1073,0.08867104
1074,0.0
1075,0.0
1076,0.0
1077,1.4629621e-05
1078,0.0065416107
1079,0.0
1080,0.0
1081,0.0
1082,0.00030030787
1083,0.0
1084,0.0
1085,0.0
1086,0.0
1087,0.0
1088,0.0
1089,0.0
1090,0.0
1091,0.0
1092,0.0
1093,0.0
1094,0.0
1095,0.849472
1096,0.0
1097,0.0
1098,0.0
1099,0.0
1100,0.0
1101,0.0
1102,0.0
1103,0.0
1104,0.0
1105,0.0
1106,0.0
1107,0.0
1108,0.0
1109,0.0
1110,0.0
1111,0.19629292
1112,0.0
1113,0.0
1114,0.0
1115,0.0
1116,0.0
1117,0.0
1118,0.0
1119,0.61332124
1120,0.0
1121,0.0
1122,0.0
1123,0.0
1124,0.0
1125,0.0
1126,0.0
1127,0.0
1128,0.0
1129,0.0
1130,0.0
1131,0.0
1132,0.0
1133,0.11633447
1134,0.0
1135,0.0
1136,0.0
1137,0.0
1138,0.0
1139,0.0
1140,0.0
1141,0.00013045261
1142,0.0
1143,0.19227548
1144,0.0
1145,0.0
1146,0.014616434
1147,0.14987879
1148,0.4236107
1149,0.0
1150,0.0
1151,0.28277573
1152,0.0
1153,0.42342916
1154,0.0
1155,0.0
1156,0.0
1157,0.0
1158,0.0
1159,0.0
1160,0.0059561837
1161,0.0
1162,0.0
1163,0.0
1164,0.0
1165,0.0
1166,0.0
1167,0.0
1168,0.0
1169,0.0
1170,0.0
1171,0.0
1172,0.0
1173,0.0
1174,0.0
1175,0.0
1176,0.0
1177,0.0
1178,0.0
1179,0.0
1180,0.0
1181,0.0
1182,0.03982997
1183,0.0
1184,0.0
1185,0.0
1186,1.3402675
1187,0.0
1188,0.0
1189,0.23604034
1190,0.0
1191,0.0
1192,0.0
1193,0.0
1194,0.0
1195,0.0
1196,0.0
1197,0.88145685
1198,0.058048896
1199,0.3850011
1200,0.0
1201,0.0
1202,0.08135427
1203,0.03547674
1204,0.63346004
1205,0.012388451
1206,0.0
1207,0.0
1208,0.0
1209,1.2829801
1210,0.25619188
1211,0.0
1212,0.0
1213,0.0
1214,0.0
1215,0.0
1216,0.0
1217,0.0
1218,0.0
1219,0.0
1220,0.48782095
1221,0.0
1222,0.0
1223,0.0
1224,0.0
1225,0.0
1226,0.0
1227,0.0
1228,0.0
1229,0.0
1230,0.0
1231,0.0
1232,0.0
1233,0.0
1234,0.0
1235,0.0
1236,0.0
1237,0.0
1238,0.0
1239,0.0
1240,0.0
1241,0.0
1242,0.0
1243,0.0
1244,0.0
1245,0.0
1246,0.0
1247,0.0
1248,0.0
1249,0.0
1250,0.0
1251,0.0
1252,0.0
1253,0.00046139467
1254,0.0030180167
1255,0.0
1256,0.0
1257,0.09900979
1258,0.023799917
1259,0.0
1260,0.19106738
1261,0.0
1262,0.0
1263,0.0
1264,0.0
1265,0.0
1266,0.0
1267,0.0
1268,0.0
1269,0.0
1270,0.0
1271,0.0
1272,1.5158803
1273,0.5489896
1274,0.0
1275,0.0
1276,0.15672702
1277,0.0
1278,0.0
1279,0.0
1280,0.0
1281,0.0
1282,0.7079224
1283,0.033993524
1284,0.0
1285,0.0
1286,0.0
1287,0.0
1288,0.7931395
1289,0.028762264
1290,0.0
1291,0.02982858
1292,0.19420652
1293,0.0
1294,0.04532431
1295,0.42684293
1296,0.0
1297,0.013177329
1298,0.07880666
1299,0.2934863
1300,0.0
1301,0.0
1302,1.1653626
1303,0.110969715
1304,0.17432337
1305,0.0
1306,4.358059
1307,0.0
1308,0.0
1309,0.0
1310,0.0
1311,0.0
1312,0.0
1313,0.0
1314,0.0
1315,0.0
1316,0.0
1317,0.0
1318,0.0
1319,0.0
1320,0.0
1321,0.0
1322,0.0
1323,0.0
1324,0.0
1325,0.0
1326,0.0
1327,0.0
1328,0.0
1329,0.0
1330,0.0
1331,0.0
1332,0.0
1333,0.0
1334,0.0
1335,0.0
1336,0.0
1337,2.986854
1338,0.0
1339,0.0
1340,0.0
1341,0.026056098
1342,1.0456964
1343,0.0
1344,0.0
1345,0.3256766
1346,0.0
1347,0.026297534
1348,1.8945646
1349,0.0
1350,0.00015780689
1351,0.013035923
1352,0.2505545
1353,0.8985326
1354,1.7950729
1355,0.0
1356,0.0
1357,0.11325758
1358,1.1206278
1359,1.4769508
1360,0.10959478
1361,2.6720355
1362,1.4928594
1363,0.0
1364,0.0
1365,0.0
1366,0.0
1367,0.0
1368,0.0
1369,0.0
1370,0.04505461
1371,0.0
1372,0.0
1373,0.0
1374,0.0
1375,0.12654415
1376,0.0
1377,5.801052
1378,0.0
1379,0.0
1380,0.0
1381,0.06748564
1382,0.0
1383,0.0
1384,0.6091431
1385,0.0
1386,0.0
1387,0.0
1388,0.0
1389,0.0
1390,0.0
1391,0.0
1392,0.0
1393,0.0
1394,0.0
1395,0.36813676
1396,0.0
1397,0.0
1398,0.0
1399,0.0
1400,0.08016509
1401,0.11495864
1402,0.0
1403,0.0
1404,0.0
1405,0.0
1406,0.0
1407,0.0
1408,0.0
1409,0.0
1410,0.0
1411,0.0
1412,0.0
1413,0.0
1414,0.0
1415,0.09367817
1416,0.0
1417,0.0
1418,0.0
1419,0.0
1420,0.0
1421,0.0
1422,0.0
1423,0.0
1424,0.24201243
1425,0.032958765
1426,0.0
1427,0.0
1428,0.008547579
1429,0.0
1430,0.0
1431,4.9873623e-05
1432,0.0
1433,0.1307683
1434,0.16232346
1435,0.07465837
1436,0.0004686857
1437,0.17842655
1438,0.0
1439,0.14866447
1440,0.0
1441,0.0
1442,1.3999972
1443,1.4129691
1444,1.4215498
1445,2.055385
1446,1.8936197
1447,0.0
1448,0.0
1449,0.0
1450,0.0
1451,0.0
1452,0.0
1453,0.0
1454,0.69441277
1455,0.0
1456,0.0
1457,0.0
1458,0.08428441
1459,0.05047902
1460,0.28562862
1461,0.6380057
1462,1.5747907
1463,1.1006246
1464,0.0
1465,0.0
1466,0.0
1467,0.0
1468,0.09321229
1469,0.00073321816
1470,0.0018340665
1471,0.4364382
1472,0.0
1473,0.0
1474,0.034029093
1475,0.82605845
1476,0.0
1477,0.0
1478,0.044674348
1479,0.011995982
1480,0.0
1481,0.0
1482,0.0
1483,0.0
1484,0.0
1485,0.43409324
1486,0.0
1487,0.0
1488,0.0
1489,0.0
1490,0.0
1491,0.0
1492,0.47453997
1493,0.0
1494,0.0
1495,0.0
1496,0.0
1497,0.0
1498,0.0
1499,0.0
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.26027298
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.029369155
1517,1.3445529
1518,0.0
1519,1.0595512
1520,0.20265324
1521,0.11688526
1522,0.0
1523,0.05389211
1524,0.4338861
1525,0.0
1526,0.041234057
1527,0.0
1528,0.0
1529,0.0011526055
1530,2.015722
1531,0.45194498
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.08092425
1547,0.03144058
1548,0.0
1549,0.031468865
1550,0.16755328
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.028297443
1558,0.32089323
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.1706347
1566,2.01065
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.098522805
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.25916386
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.008447659
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.4346532
1668,0.0
1669,0.0
1670,0.0
1671,0.5506808
1672,0.0
1673,0.160702
1674,1.316135
1675,0.0
1676,0.0
1677,0.0
1678,0.030728241
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.034622952
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,0.024624776
1718,0.70840746
1719,0.0
1720,0.0
1721,0.67906445
1722,0.0
1723,0.0
1724,0.0
1725,0.015206189
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.081941366
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.13656417
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.07728455
1758,0.0
1759,0.0
1760,0.6899937
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.14054237
1768,0.0
1769,0.22909953
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0054821526
1779,0.027952135
1780,0.0
1781,0.049095593
1782,0.0
1783,0.0
1784,0.0
1785,0.4022636
1786,0.011693185
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.17685318
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.19076374
1818,0.61470276
1819,0.0
1820,0.48984066
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.58799857
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.099775545
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,1.3330504
1877,0.0
1878,0.0
1879,0.4330609
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.10870504
1897,0.59921676
1898,0.0
1899,0.22710122
1900,0.6513497
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.03608396
1906,0.0
1907,0.03720149
1908,0.22748207
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.015222949
1915,0.0
1916,0.0
1917,0.0
1918,0.39981586
1919,0.0
1920,0.0
1921,0.0
1922,0.0022422185
1923,0.334553
1924,0.29946423
1925,0.0
1926,0.0
1927,0.0
1928,0.0
1929,0.0
1930,0.0
1931,0.0
1932,0.0
1933,0.0
1934,0.0
1935,0.33446115
1936,0.0
1937,0.0
1938,0.0
1939,0.0
1940,0.0
1941,0.0
1942,0.0
1943,0.0
1944,0.0
1945,0.0
1946,0.0
1947,0.0
1948,0.0
1949,0.0
1950,0.0
1951,0.0
1952,0.0
1953,0.0067490833
1954,0.19259392
1955,0.0
1956,0.0
1957,0.0
1958,0.0
1959,0.0
1960,0.0
1961,0.0
1962,0.0
1963,0.0
1964,0.0
1965,0.0
1966,0.0
1967,0.0
1968,0.0
1969,0.0
1970,0.0
1971,0.07712594
1972,0.0
1973,0.0
1974,0.0
1975,0.0
1976,0.0
1977,0.0
1978,0.0
1979,0.0
1980,0.0
1981,0.0
1982,0.022762405
1983,0.0
1984,0.0
1985,0.0
1986,0.0
1987,0.0
1988,0.0
1989,0.0
1990,0.0
1991,0.0
1992,0.0
1993,0.0
1994,0.0
1995,0.0
1996,0.0
1997,0.0
1998,0.0
1999,0.0
2000,0.0
2001,0.0
2002,0.0
2003,0.8551758
2004,0.0
2005,0.0
2006,0.28945464
2007,0.0
2008,0.0
2009,0.0
2010,0.0
2011,0.0
2012,0.0
2013,0.0
2014,0.0
2015,0.0
2016,0.0
2017,0.0
2018,0.0
